"Age_group"	"Condition"	"Gender"	"Subject"	"Phase"	"aveChange"
"1"	"5y"	"Child_help"	"male"	"240642"	"Test1"	0.0598
"2"	"5y"	"Child_help"	"male"	"240894"	"Test4"	0.0501
"3"	"5y"	"E1_help"	"male"	"240894"	"Test1"	0.0496
"4"	"5y"	"Child_help"	"male"	"238360"	"Test1"	0.0469
"5"	"5y"	"Child_help"	"female"	"240349"	"Test2"	0.0441
"6"	"2y"	"E1_help"	"female"	"250391"	"Test4"	0.0414
"7"	"2y"	"E1_help"	"male"	"251536"	"Test1"	0.0394
"8"	"5y"	"E1_help"	"female"	"238930"	"Test2"	0.0373
"9"	"2y"	"E1_help"	"male"	"255137"	"Test4"	0.0332
"10"	"5y"	"E1_help"	"female"	"240349"	"Test1"	0.0331
"11"	"2y"	"Child_help"	"female"	"247224"	"Test3"	0.0311
"12"	"2y"	"E1_help"	"female"	"247224"	"Test4"	0.0282
"13"	"2y"	"Child_help"	"male"	"251536"	"Test2"	0.0277
"14"	"2y"	"Child_help"	"male"	"251036"	"Test2"	0.0273
"15"	"5y"	"Child_help"	"female"	"238928"	"Test3"	0.0273
"16"	"5y"	"Child_help"	"male"	"240894"	"Test2"	0.0267
"17"	"2y"	"Child_help"	"female"	"247224"	"Test1"	0.0257
"18"	"5y"	"Child_help"	"male"	"240383"	"Test2"	0.0254
"19"	"2y"	"E1_help"	"female"	"247224"	"Test2"	0.0253
"20"	"5y"	"E1_help"	"male"	"238463"	"Test3"	0.0253
"21"	"2y"	"Child_help"	"male"	"251036"	"Test4"	0.0251
"22"	"5y"	"Child_help"	"female"	"240349"	"Test4"	0.0244
"23"	"5y"	"E1_help"	"female"	"238930"	"Test4"	0.0244
"24"	"2y"	"E1_help"	"female"	"248461"	"Test4"	0.0232
"25"	"5y"	"Child_help"	"female"	"238930"	"Test1"	0.0227
"26"	"5y"	"Child_help"	"male"	"240383"	"Test4"	0.0214
"27"	"5y"	"Child_help"	"female"	"240850"	"Test3"	0.0213
"28"	"5y"	"Child_help"	"female"	"238930"	"Test3"	0.021
"29"	"2y"	"E1_help"	"male"	"249239"	"Test4"	0.0192
"30"	"5y"	"Child_help"	"female"	"238626"	"Test4"	0.0189
"31"	"2y"	"Child_help"	"male"	"247527"	"Test2"	0.0176
"32"	"5y"	"E1_help"	"female"	"238433"	"Test2"	0.0175
"33"	"5y"	"E1_help"	"female"	"238433"	"Test4"	0.0175
"34"	"2y"	"Child_help"	"male"	"251536"	"Test4"	0.017
"35"	"2y"	"Child_help"	"male"	"249233"	"Test3"	0.0168
"36"	"5y"	"E1_help"	"female"	"238435"	"Test3"	0.0164
"37"	"5y"	"Child_help"	"female"	"240529"	"Test2"	0.0149
"38"	"2y"	"Child_help"	"male"	"249632"	"Test3"	0.0147
"39"	"5y"	"Child_help"	"female"	"238928"	"Test1"	0.0147
"40"	"2y"	"Child_help"	"female"	"247039"	"Test1"	0.0146
"41"	"2y"	"E1_help"	"male"	"249239"	"Test2"	0.0143
"42"	"2y"	"Child_help"	"male"	"249632"	"Test1"	0.0138
"43"	"5y"	"Child_help"	"female"	"240747"	"Test2"	0.0133
"44"	"5y"	"E1_help"	"male"	"238373"	"Test2"	0.0133
"45"	"5y"	"E1_help"	"female"	"238626"	"Test3"	0.0132
"46"	"2y"	"E1_help"	"female"	"247474"	"Test3"	0.0131
"47"	"5y"	"Child_help"	"female"	"240529"	"Test4"	0.0119
"48"	"5y"	"E1_help"	"male"	"241090"	"Test4"	0.0117
"49"	"2y"	"Child_help"	"male"	"249233"	"Test1"	0.0116
"50"	"5y"	"E1_help"	"female"	"238928"	"Test2"	0.0116
"51"	"2y"	"Child_help"	"female"	"249799"	"Test1"	0.0112
"52"	"2y"	"E1_help"	"female"	"250135"	"Test4"	0.0105
"53"	"5y"	"Child_help"	"male"	"243582"	"Test2"	0.0103
"54"	"2y"	"E1_help"	"male"	"251036"	"Test3"	0.0102
"55"	"5y"	"Child_help"	"female"	"240850"	"Test1"	0.009
"56"	"5y"	"E1_help"	"female"	"241079"	"Test4"	0.0088
"57"	"5y"	"E1_help"	"male"	"241039"	"Test1"	0.0088
"58"	"5y"	"Child_help"	"female"	"240747"	"Test4"	0.0087
"59"	"2y"	"E1_help"	"male"	"251536"	"Test3"	0.0085
"60"	"5y"	"Child_help"	"female"	"240914"	"Test1"	0.0082
"61"	"2y"	"Child_help"	"female"	"249799"	"Test3"	0.0075
"62"	"5y"	"Child_help"	"female"	"238626"	"Test2"	0.0071
"63"	"5y"	"Child_help"	"male"	"238463"	"Test4"	0.0067
"64"	"2y"	"E1_help"	"male"	"251036"	"Test1"	0.0063
"65"	"2y"	"Child_help"	"female"	"246661"	"Test2"	0.0055
"66"	"2y"	"E1_help"	"female"	"246661"	"Test1"	0.0055
"67"	"5y"	"E1_help"	"male"	"243582"	"Test1"	0.0055
"68"	"5y"	"Child_help"	"male"	"238360"	"Test3"	0.0052
"69"	"5y"	"Child_help"	"male"	"243582"	"Test4"	0.005
"70"	"2y"	"Child_help"	"male"	"249525"	"Test3"	0.0048
"71"	"2y"	"Child_help"	"male"	"255137"	"Test1"	0.0047
