"Help"	"Condition"	"Gender"	"Subject"	"Phase"	"aveChange"
"1"	"Control"	"Observed"	"F"	"242885"	"Test2"	0.0753
"2"	"Control"	"non-Observed"	"F"	"243037"	"Test1"	0.0663
"3"	"Control"	"Observed"	"F"	"243363"	"Test2"	0.0437
"4"	"Child-helped"	"Observed"	"F"	"242583"	"Test2"	0.0415
"5"	"Control"	"non-Observed"	"M"	"243543"	"Test2"	0.0399
"6"	"Child-helped"	"Observed"	"F"	"243371"	"Test1"	0.0383
"7"	"Child-helped"	"non-Observed"	"M"	"242422"	"Test1"	0.0358
"8"	"Control"	"non-Observed"	"F"	"243038"	"Test2"	0.0351
"9"	"Control"	"non-Observed"	"F"	"243528"	"Test1"	0.035
"10"	"Control"	"Observed"	"F"	"251945"	"Test1"	0.0307
"11"	"Child-helped"	"non-Observed"	"F"	"243528"	"Test2"	0.0296
"12"	"Control"	"Observed"	"M"	"242867"	"Test2"	0.0282
"13"	"Control"	"Observed"	"M"	"242937"	"Test1"	0.0273
"14"	"Control"	"non-Observed"	"M"	"243993"	"Test1"	0.02
"15"	"Child-helped"	"Observed"	"F"	"242810"	"Test2"	0.0173
"16"	"Control"	"non-Observed"	"F"	"242883"	"Test1"	0.0164
"17"	"Child-helped"	"non-Observed"	"M"	"243543"	"Test1"	0.0163
"18"	"Control"	"Observed"	"M"	"243185"	"Test2"	0.0162
"19"	"Control"	"non-Observed"	"F"	"243593"	"Test2"	0.0159
"20"	"Child-helped"	"non-Observed"	"F"	"242883"	"Test2"	0.0142
"21"	"Child-helped"	"Observed"	"M"	"242937"	"Test2"	0.0141
"22"	"Control"	"non-Observed"	"M"	"242422"	"Test2"	0.0135
"23"	"Child-helped"	"Observed"	"F"	"243328"	"Test2"	0.013
"24"	"Child-helped"	"non-Observed"	"F"	"256201"	"Test2"	0.0124
"25"	"Child-helped"	"Observed"	"F"	"243363"	"Test1"	0.0116
"26"	"Control"	"Observed"	"M"	"243337"	"Test1"	0.0107
"27"	"Child-helped"	"Observed"	"F"	"241510"	"Test2"	0.0104
"28"	"Child-helped"	"non-Observed"	"M"	"243201"	"Test2"	0.0099
"29"	"Control"	"Observed"	"M"	"243384"	"Test1"	0.0096
"30"	"Control"	"Observed"	"F"	"243328"	"Test1"	0.0081
"31"	"Child-helped"	"non-Observed"	"F"	"243037"	"Test2"	0.0076
"32"	"Control"	"non-Observed"	"M"	"243087"	"Test1"	0.0069
"33"	"Child-helped"	"non-Observed"	"F"	"242956"	"Test2"	0.0059
"34"	"Control"	"Observed"	"F"	"243479"	"Test2"	0.0048
"35"	"Control"	"Observed"	"M"	"243215"	"Test2"	0.0039
"36"	"Control"	"Observed"	"M"	"243364"	"Test1"	0.0036
"37"	"Control"	"Observed"	"M"	"242362"	"Test1"	0.0031
"38"	"Child-helped"	"non-Observed"	"F"	"243386"	"Test2"	0.0018
"39"	"Control"	"Observed"	"F"	"242810"	"Test1"	0.001
