"Subject.Nr" "In_sample" "Datum" "Subject" "Geb." "Age_days" "Age_years" "Dyad" "Condition" "Need" "Side" "Gender" "helped" "Chest"
"1" 19 "YES" 42772 251599 41263 1509 4.131416838 10 "con" "needy" "left" "female" "helped" -0.00298541666666667
"2" 20 "YES" 42772 251594 41173 1599 4.377823409 10 "con" "non-needy" "right" "female" "not-helped" 0.0208141666666667
"3" 21 "YES" 42772 251580 41284 1488 4.073921971 11 "inc" "needy" "left" "male" "not-helped" 0.00324650793650794
"4" 22 "YES" 42772 251590 41175 1597 4.372347707 11 "inc" "non-needy" "right" "male" "helped" 0.00148181547619048
"5" 23 "YES" 42772 242725 41249 1523 4.169746749 12 "con" "non-needy" "left" "female" "not-helped" 0.00921934523809523
"6" 24 "YES" 42772 252047 41135 1637 4.481861739 12 "con" "needy" "right" "female" "helped" -0.00283690530303028
"7" 25 "YES" 42773 243899 41223 1550 4.24366872 13 "inc" "needy" "right" "male" "not-helped" -0.0319290773809524
"8" 26 "YES" 42773 246103 41183 1590 4.353182752 13 "inc" "non-needy" "left" "male" "helped" -0.0382801607142857
"9" 27 "YES" 42773 243647 41215 1558 4.265571526 14 "con" "needy" "right" "male" "helped" 0.0108284910714286
"10" 28 "YES" 42773 248498 41279 1494 4.090349076 14 "con" "non-needy" "left" "male" "not-helped" 0.0169560744047619
"11" 29 "YES" 42773 248504 41243 1530 4.188911704 15 "inc" "needy" "right" "female" "not-helped" -0.0122750476190476
"12" 30 "YES" 42773 251333 41170 1603 4.388774812 15 "inc" "non-needy" "left" "female" "helped" NA
"13" 31 "YES" 42782 251980 41155 1627 4.454483231 16 "inc" "non-needy" "right" "male" "helped" 0.0149599702380953
"14" 32 "YES" 42782 245065 41300 1482 4.057494867 16 "inc" "needy" "left" "male" "not-helped" -0.0081747619047619
"15" 33 "YES" 42782 252129 41185 1597 4.372347707 17 "con" "non-needy" "right" "male" "not-helped" 0.00137732142857143
"16" 34 "YES" 42782 254893 41257 1525 4.17522245 17 "con" "needy" "left" "male" "helped" 0.0274611904761905
"17" 37 "YES" 42795 243412 41166 1629 4.459958932 19 "con" "non-needy" "right" "female" "not-helped" -0.0011407738095238
"18" 38 "YES" 42795 251118 41237 1558 4.265571526 19 "con" "needy" "left" "female" "helped" -0.000535148809523814
"19" 39 "YES" 42795 251116 41254 1541 4.219028063 20 "inc" "needy" "left" "female" "not-helped" 0.00410208333333333
"20" 40 "YES" 42795 245328 41292 1503 4.114989733 20 "inc" "non-needy" "right" "female" "helped" 0.00911818452380951
"21" 41 "YES" 42795 251018 41237 1558 4.265571526 21 "inc" "non-needy" "right" "female" "helped" -0.00749577162698412
"22" 42 "YES" 42795 245072 41293 1502 4.112251882 21 "inc" "needy" "left" "female" "not-helped" -0.0291859226190476
"23" 43 "YES" 42795 243539 41201 1594 4.364134155 22 "con" "needy" "left" "male" "helped" 0.0150583333333333
"24" 44 "YES" 42795 251002 41292 1503 4.114989733 22 "con" "non-needy" "right" "male" "not-helped" -0.0267736904761905
"25" 45 "YES" 42796 245505 41324 1472 4.030116359 23 "con" "needy" "right" "male" "helped" -8.02976190476172e-05
"26" 46 "YES" 42796 252128 41172 1624 4.446269678 23 "con" "non-needy" "left" "male" "not-helped" -0.000243928571428572
"27" 47 "YES" 42796 252075 41287 1509 4.131416838 24 "con" "non-needy" "left" "female" "not-helped" NA
"28" 48 "YES" 42796 252130 41218 1578 4.320328542 24 "con" "needy" "right" "female" "helped" 0.0174079464285714
"29" 49 "YES" 42802 251575 41293 1509 4.131416838 25 "inc" "non-needy" "right" "male" "helped" -0.0096917261904762
"30" 50 "YES" 42802 245426 41323 1479 4.049281314 25 "inc" "needy" "left" "male" "not-helped" 0.0315728174603175
"31" 51 "YES" 42802 251573 41296 1506 4.123203285 26 "con" "needy" "left" "female" "helped" 0.00239183035714285
"32" 52 "YES" 42802 251574 41291 1511 4.136892539 26 "con" "non-needy" "right" "female" "not-helped" 0.023387625
"33" 53 "YES" 42802 251589 41290 1512 4.13963039 27 "inc" "needy" "right" "female" "not-helped" 0.0180034821428571
"34" 54 "YES" 42802 251587 41185 1617 4.427104723 27 "inc" "non-needy" "left" "female" "helped" 0.0249749801587301
"35" 57 "YES" 42803 246357 41334 1469 4.021902806 29 "inc" "needy" "left" "male" "not-helped" -0.00501830357142858
"36" 58 "YES" 42803 253528 41300 1503 4.114989733 29 "inc" "non-needy" "right" "male" "helped" -0.00916211309523809
"37" 59 "YES" 42803 248615 41255 1548 4.238193018 30 "con" "needy" "right" "female" "helped" -0.0166601488095238
"38" 60 "YES" 42803 248607 41268 1535 4.202600958 30 "con" "non-needy" "left" "female" "not-helped" NA
"39" 63 "YES" 42803 248610 41280 1523 4.169746749 32 "con" "non-needy" "right" "male" "not-helped" 0.00453644642857142
"40" 64 "YES" 42803 248617 41329 1474 4.03559206 32 "con" "needy" "left" "male" "helped" 0.011432755952381
"41" 65 "YES" 42804 243336 41223 1581 4.328542094 33 "inc" "needy" "right" "female" "not-helped" 0.00139762283549784
"42" 66 "YES" 42804 253790 41165 1639 4.48733744 33 "inc" "non-needy" "left" "female" "helped" 0.000715964285714286
"43" 67 "YES" 42808 251093 41284 1524 4.1724846 34 "con" "needy" "left" "female" "helped" 0.0296029613095238
"44" 68 "YES" 42808 244569 41166 1642 4.495550992 34 "con" "non-needy" "right" "female" "not-helped" 0.0153776190476191
"45" 69 "YES" 42808 247608 41203 1605 4.394250513 35 "inc" "needy" "left" "male" "not-helped" -0.02892625
"46" 70 "YES" 42808 254503 41204 1604 4.391512663 35 "inc" "non-needy" "right" "male" "helped" 0.0874390164473685
"47" 71 "YES" 42808 254505 41281 1527 4.180698152 36 "inc" "non-needy" "left" "male" "helped" -0.0344039434523809
"48" 72 "YES" 42808 247606 41266 1542 4.221765914 36 "inc" "needy" "right" "male" "not-helped" 0.00800621428571429
"49" 73 "YES" 42810 244887 41209 1601 4.38329911 37 "inc" "non-needy" "left" "male" "helped" 0.0377710813492063
