"Subject.Nr" "In_sample" "Datum" "Subject" "Geb." "Age_days" "Age_years" "Dyad" "Condition" "Need" "Side" "Gender" "helped" "Hip"
"1" 19 "YES" 42772 251599 41263 1509 4.131416838 10 "con" "needy" "left" "female" "helped" 0.0229474013888889
"2" 20 "YES" 42772 251594 41173 1599 4.377823409 10 "con" "non-needy" "right" "female" "not-helped" 0.00536011607142858
"3" 21 "YES" 42772 251580 41284 1488 4.073921971 11 "inc" "needy" "left" "male" "not-helped" 0.0134177531746032
"4" 22 "YES" 42772 251590 41175 1597 4.372347707 11 "inc" "non-needy" "right" "male" "helped" -0.012075494047619
"5" 23 "YES" 42772 242725 41249 1523 4.169746749 12 "con" "non-needy" "left" "female" "not-helped" -0.008698175
"6" 24 "YES" 42772 252047 41135 1637 4.481861739 12 "con" "needy" "right" "female" "helped" 0.00196964471861471
"7" 25 "YES" 42773 243899 41223 1550 4.24366872 13 "inc" "needy" "right" "male" "not-helped" -0.031291943452381
"8" 26 "YES" 42773 246103 41183 1590 4.353182752 13 "inc" "non-needy" "left" "male" "helped" -0.0348866636904762
"9" 27 "YES" 42773 243647 41215 1558 4.265571526 14 "con" "needy" "right" "male" "helped" 0.031666
"10" 28 "YES" 42773 248498 41279 1494 4.090349076 14 "con" "non-needy" "left" "male" "not-helped" 0.0297682202380952
"11" 29 "YES" 42773 248504 41243 1530 4.188911704 15 "inc" "needy" "right" "female" "not-helped" 0.00394648809523811
"12" 30 "YES" 42773 251333 41170 1603 4.388774812 15 "inc" "non-needy" "left" "female" "helped" NA
"13" 31 "YES" 42782 251980 41155 1627 4.454483231 16 "inc" "non-needy" "right" "male" "helped" 0.00500802886904762
"14" 32 "YES" 42782 245065 41300 1482 4.057494867 16 "inc" "needy" "left" "male" "not-helped" -0.0130958154761905
"15" 33 "YES" 42782 252129 41185 1597 4.372347707 17 "con" "non-needy" "right" "male" "not-helped" -0.0012765625
"16" 34 "YES" 42782 254893 41257 1525 4.17522245 17 "con" "needy" "left" "male" "helped" 0.0142102545238095
"17" 37 "YES" 42795 243412 41166 1629 4.459958932 19 "con" "non-needy" "right" "female" "not-helped" 0.00140658035714285
"18" 38 "YES" 42795 251118 41237 1558 4.265571526 19 "con" "needy" "left" "female" "helped" -0.00543028749999999
"19" 39 "YES" 42795 251116 41254 1541 4.219028063 20 "inc" "needy" "left" "female" "not-helped" 0.0365286726190476
"20" 40 "YES" 42795 245328 41292 1503 4.114989733 20 "inc" "non-needy" "right" "female" "helped" 0.00698988988095238
"21" 41 "YES" 42795 251018 41237 1558 4.265571526 21 "inc" "non-needy" "right" "female" "helped" 0.0176259841269841
