"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"1"	"20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504"	"04"	"unobs"	"5"	"m"	"5.752224504"	"Test 1"	0.00279521314102555
"2"	"20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504"	"04"	"unobs"	"5"	"m"	"5.752224504"	"Test 2"	-0.0379322131410256
"3"	"20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114"	"01"	"unobs"	"5"	"m"	"5.612594114"	"Test 1"	-0.00824870160256415
"4"	"20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114"	"01"	"unobs"	"5"	"m"	"5.612594114"	"Test 2"	-0.00283664903846154
"5"	"20190524T105211_ProShame2_08_w_unobs_5_NA_E1_3_5.032169747"	"08"	"unobs"	"5"	"w"	"5.032169747"	"Test 1"	-0.0266085442307691
"6"	"20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679"	"53"	"obs"	"5"	"m"	"5.492128679"	"Test 1"	0.0310593317307692
"7"	"20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679"	"53"	"obs"	"5"	"m"	"5.492128679"	"Test 2"	0.00191793429487182
"8"	"20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243"	"54"	"obs"	"4"	"w"	"4.79945243"	"Test 1"	0.0417100479925776
"9"	"20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243"	"54"	"obs"	"4"	"w"	"4.79945243"	"Test 2"	0.0547431860042736
"10"	"20190527T095051_ProShame2_55_m_obs_4_F_E1_3_4.635181383"	"55"	"obs"	"4"	"m"	"4.635181383"	"Test 1"	0.0463927564102564
"11"	"20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844"	"11"	"unobs"	"5"	"w"	"5.544147844"	"Test 1"	-0.00205329246794868
"12"	"20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844"	"11"	"unobs"	"5"	"w"	"5.544147844"	"Test 2"	0.0070289735576923
"13"	"20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273"	"12"	"unobs"	"5"	"m"	"5.297741273"	"Test 1"	0.0551796884615384
"14"	"20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273"	"12"	"unobs"	"5"	"m"	"5.297741273"	"Test 2"	0.0420970442307693
"15"	"20190529T100306_ProShame2_14_w_unobs_4_NA_E2_4_4.955509925"	"14"	"unobs"	"4"	"w"	"4.955509925"	"Test 1"	0.13141925801282
"16"	"20190529T100306_ProShame2_14_w_unobs_4_NA_E2_4_4.955509925"	"14"	"unobs"	"4"	"w"	"4.955509925"	"Test 2"	0.161570075320513
"17"	"20190529T103756_ProShame2_16_w_unobs_5_NA_E2_4_5.01026694"	"16"	"unobs"	"5"	"w"	"5.01026694"	"Test 1"	0.01389
"18"	"20190605T091341_ProShame2_17_w_unobs_4_NA_E2_3_4.013689254"	"17"	"unobs"	"4"	"w"	"4.013689254"	"Test 1"	-0.0179040003205128
"19"	"20190605T092332_ProShame2_18_w_unobs_5_NA_E2_3_5.136208077"	"18"	"unobs"	"5"	"w"	"5.136208077"	"Test 1"	-0.00345473685897438
"20"	"20190605T092332_ProShame2_18_w_unobs_5_NA_E2_3_5.136208077"	"18"	"unobs"	"5"	"w"	"5.136208077"	"Test 2"	-0.0401484676282052
"21"	"20190612T094719_ProShame2_23_m_unobs_4_NA_E1_4_4.728268309"	"23"	"unobs"	"4"	"m"	"4.728268309"	"Test 1"	-0.0841781474358974
"22"	"20190612T094719_ProShame2_23_m_unobs_4_NA_E1_4_4.728268309"	"23"	"unobs"	"4"	"m"	"4.728268309"	"Test 2"	-0.0808351121794872
"23"	"20190619T084846_ProShame2_59_m_obs_5_M_E2_4_5.757700205"	"59"	"obs"	"5"	"m"	"5.757700205"	"Test 1"	0.0506498104395604
"24"	"20190619T091112_ProShame2_60_w_obs_5_M_E2_4_5.856262834"	"60"	"obs"	"5"	"w"	"5.856262834"	"Test 1"	0.0229453847165992
"25"	"20190619T091112_ProShame2_60_w_obs_5_M_E2_4_5.856262834"	"60"	"obs"	"5"	"w"	"5.856262834"	"Test 2"	-0.0132689774628879
"26"	"20190619T092828_ProShame2_58_w_obs_5_M_E2_4_5.281314168"	"58"	"obs"	"5"	"w"	"5.281314168"	"Test 1"	0.0104682932692308
"27"	"20190619T092828_ProShame2_58_w_obs_5_M_E2_4_5.281314168"	"58"	"obs"	"5"	"w"	"5.281314168"	"Test 2"	-0.0132208605769231
