ID_c1	Condition_c1	Age_c1	Gender_c1	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
87	obs	5	w	4	5	Elated_joy	smile_with_an_open_mouth
90	obs	4	m	2	3	Shame 	Lowered_or_collapsed_upper_body_posture
66	obs	4	m	3	4	Happiness 	head_tilted_upward 
117	unobs	5	m	2	2	Sadness	Sad_facial_expression
70	obs	4	w	5	5	Elated_joy	Dynamic_movements
98	obs	4	w	4	4	Happiness 	Smile
127	unobs	5	m	4	4	Happiness 	Smile
101	obs	5	w	5	5	Elated_joy	Dynamic_movements
145	obs	5	m	2	3	No_apparent_emotion	None
51	unobs	4	m	3	3	Contentment 	Slight_smile
136	obs	5	w	5	5	Elated_joy	Dynamic_movements
125	unobs	4	w	3	2	Sadness	Sad_facial_expression
64	obs	5	w	2	3	Contentment 	lips_together
4	unobs	5	m	2	3	Contentment 	lips_together
36	unobs	4	w	3	3	Contentment 	lips_together
92	obs	5	m	5	3	Elated_joy	Dynamic_movements
107	unobs	4	m	2	3	No_apparent_emotion	None
61	obs	4	m	2	2	Sadness	Sad_facial_expression
88	obs	5	m	2	3	Contentment 	Slight_smile
106	unobs	4	m	4	4	Happiness 	head_tilted_upward 
53	obs	5	m	3	3	No_apparent_emotion	None
124	unobs	4	w	4	3	No_apparent_emotion	None
76	obs	5	w	2	2	Sadness	slow_movement
82	obs	5	w	2	3	Contentment 	Slight_smile
102	obs	4	m	3	3	Contentment 	Slight_smile
75	obs	4	m	3	4	Happiness 	Smile
152	obs	5	w	3	3	Contentment 	Slight_smile
39	unobs	5	m	2	3	No_apparent_emotion	None
38	unobs	4	w	4	3	Contentment 	Slight_smile
91	obs	5	m	3	4	Happiness 	Smile
52	unobs	4	w	2	2	Sadness	Sad_facial_expression
63	obs	4	w	3	2	Sadness	Sad_facial_expression
73	obs	4	w	4	5	Elated_joy	Dynamic_movements
99	obs	4	m	3	3	Contentment 	lips_together
60	obs	5	w	2	4	Happiness 	Smile
50	unobs	4	m	5	4	Happiness 	Smile
147	obs	5	w	3	4	Happiness 	Smile
55	obs	4	m	2	2	Sadness	Sad_facial_expression
112	unobs	4	m	2	2	Sadness	Sad_facial_expression
47	unobs	4	m	5	4	Happiness 	Smile
71	obs	5	w	3	3	No_apparent_emotion	None
142	obs	5	w	2	3	Contentment 	lips_together
72	obs	4	m	4	5	Happiness 	Smile
8	unobs	5	w	3	3	Contentment 	lips_together
111	unobs	4	w	3	3	Contentment 	lips_together
126	unobs	4	w	4	4	Happiness 	Smile
35	unobs	4	m	3	3	Contentment 	lips_together
84	obs	5	m	4	4	Happiness 	Smile
48	unobs	4	m	2	3	Contentment 	lips_together
118	unobs	4	w	2	3	Contentment 	lips_together
45	unobs	4	m	1	2	Sadness	slow_movement
100	obs	4	w	3	3	Contentment 	Slight_smile
95	obs	5	w	2	4	Happiness 	Smile
116	unobs	5	w	3	4	Happiness 	Smile
105	unobs	4	w	3	4	Contentment 	Slight_smile
122	unobs	4	w	3	3	Awe	slightly_opened_mouth, 
74	obs	4	w	4	4	Happiness 	Smile
138	obs	4	m	3	4	Happiness 	Smile
14	unobs	4	w	4	3	Awe	Raised_eyebrows
108	unobs	4	m	4	3	Awe	Raised_eyebrows
135	obs	5	w	4	5	Happiness 	Smile
41	unobs	4	m	3	2	Sadness	Sad_facial_expression
40	unobs	4	m	4	3	No_apparent_emotion	None
17	unobs	4	w	4	4	Happiness 	Smile
12	unobs	5	m	3	3	Contentment 	lips_together
46	unobs	5	w	3	3	Contentment 	lips_together
85	obs	5	m	4	3	Contentment 	lips_together
54	obs	4	w	5	3	Contentment 	lips_together
141	obs	5	w	2	3	Contentment 	lips_together
59	obs	5	m	3	3	No_apparent_emotion	None
137	obs	4	m	5	4	Awe	slightly_opened_mouth
93	obs	5	w	3	4	Happiness 	Smile
121	unobs	5	m	4	3	Awe	Raised_eyebrows
44	unobs	4	m	3	3	Awe	Raised_eyebrows
1	unobs	5	m	3	4	Contentment 	Slight_smile
78	obs	4	w	2	3	Contentment 	lips_together
131	obs	5	m	4	3	No_apparent_emotion	None
23	unobs	4	m	3	3	Contentment 	lips_together
58	obs	5	w	4	3	No_apparent_emotion	None
16	unobs	5	w	2	3	No_apparent_emotion	None
83	obs	5	m	3	4	Contentment 	Slight_smile
79	obs	4	m	2	3	Shame 	Lowered_or_collapsed_upper_body_posture
29	unobs	5	m	5	4	Contentment 	Slight_smile
69	obs	4	w	3	4	Contentment 	Slight_smile
140	obs	4	m	3	3	Contentment 	lips_together
43	unobs	5	w	4	3	Contentment 	lips_together
37	unobs	5	m	2	2	Sadness	Sad_facial_expression
11	unobs	5	w	3	4	Contentment 	Slight_smile
110	unobs	5	w	3	3	No_apparent_emotion	None
144	obs	5	m	3	4	Happiness 	Smile
77	obs	5	w	2	4	Contentment 	Slight_smile
146	obs	4	m	2	3	Awe	Raised_eyebrows
18	unobs	5	w	3	4	Contentment 	Slight_smile
