Age_group	Condition	Gender	Subject	Phase	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
5y	E1_help	female	245115	Test1	3	3	Dissapointment	Facial_expression
5y	E1_help	female	238484	Test1	2	3	Sadness	Sad_facial_expression
5y	Child_help	male	240642	Test1	5	5	Elated_joy	smile_with_an_open_mouth
5y	Child_help	female	240929	Test1	2	3	no_apparent_emotion	none
2y	Child_help	male	249632	Test1	5	5	Elated_joy	smile_with_an_open_mouth
5y	Child_help	male	238373	Test1	2	3	Contentment 	Slight_smile
5y	E1_help	male	243582	Test1	3	2	Sadness	Sad_facial_expression
2y	Child_help	female	249054	Test3	4	4	Happiness 	head_tilted_upward 
2y	E1_help	female	250015	Test1	2	4	Contentment 	Slight_smile
2y	E1_help	female	247474	Test1	4	3	Contentment 	Slight_smile
5y	Child_help	female	238930	Test1	4	4	Contentment 	Slight_smile
5y	Child_help	female	238435	Test2	2	3	Awe	slightly_opened_mouth
5y	Child_help	male	239845	Test2	3	5	Happiness 	Smile
2y	Child_help	male	247456	Test3	2	2	Sadness	Sad_facial_expression
2y	Child_help	female	248543	Test1	2	4	Happiness 	Smile
2y	Child_help	female	250135	Test1	4	4	Elated_joy	arm_movement_upwards
5y	E1_help	female	238626	Test1	4	2	Shame	lowered_or_avoidant_gaze
5y	Child_help	male	238463	Test2	4	4	Happiness 	Smile
5y	Child_help	male	238360	Test1	4	4	Happiness 	Smile
2y	Child_help	male	251930	Test1	3	5	Happiness 	Smile
5y	E1_help	male	240807	Test1	5	3	no_apparent_emotion	none
5y	E1_help	female	240529	Test1	4	4	Happiness 	Smile
5y	Child_help	male	240383	Test2	4	3	Shame	blushing
5y	Child_help	female	240346	Test1	4	4	Shame	lowered_or_avoidant_gaze
5y	Child_help	male	240596	Test1	4	4	Happiness 	Smile
5y	E1_help	female	240349	Test1	5	4	Elated_joy	Dynamic_movements
2y	Child_help	female	250543	Test2	1	3	Awe	slightly_opened_mouth
2y	Child_help	male	249525	Test1	2	4	Contentment 	lips_together
2y	Child_help	female	250391	Test1	4	5	Elated_joy	arm_movement_upwards
5y	Child_help	male	241090	Test3	3	3	Awe	slightly_opened_mouth
2y	E1_help	male	249546	Test1	3	4	Awe	slightly_opened_mouth
5y	Child_help	female	240747	Test2	3	4	Contentment 	Slight_smile
2y	E1_help	female	250422	Test1	2	3	Shame	lowered_head
2y	Child_help	male	249233	Test1	5	5	Elated_joy	smile_with_an_open_mouth
5y	Child_help	female	240914	Test1	5	5	Elated_joy	Dynamic_movements
5y	E1_help	male	240762	Test1	5	4	Happiness 	Smile
2y	Child_help	female	248461	Test1	4	5	Happiness 	Smile
5y	Child_help	female	238928	Test1	5	4	Happiness 	Smile
2y	E1_help	male	251536	Test1	3	4	Shame	lowered_or_avoidant_gaze
2y	E1_help	female	251487	Test2	3	2	Sadness	Sad_facial_expression
2y	Child_help	female	247236	Test1	4	3	no_apparent_emotion	none
5y	E1_help	female	238628	Test2	4	5	Pride	head_tilted_upward 
5y	Child_help	female	240850	Test1	3	4	Guilty	guilty_smile
5y	Child_help	male	240891	Test1	4	3	Awe	slightly_opened_mouth
2y	E1_help	male	247527	Test1	5	5	Happiness 	Smile
5y	E1_help	male	240894	Test1	4	4	Shame	slumped_shoulders
2y	Child_help	male	249239	Test1	3	4	Happiness 	Smile
5y	Child_help	female	241079	Test1	2	4	Happiness 	Smile
2y	E1_help	male	247384	Test1	3	4	Shame	lowered_head
5y	E1_help	female	238433	Test2	2	3	Guilty	guilty_smile
5y	Child_help	male	238734	Test3	3	2	Sadness	Sad_facial_expression
2y	E1_help	male	253940	Test1	2	3	Contentment 	Slight_smile
2y	E1_help	female	246983	Test2	2	3	Shame	lowered_head
2y	Child_help	male	255137	Test1	5	5	Elated_joy	Dynamic_movements
2y	Child_help	female	247224	Test1	4	3	Happiness 	Smile
2y	Child_help	female	249799	Test1	2	3	Awe	slightly_opened_mouth
2y	Child_help	male	251703	Test1	2	3	Contentment 	Slight_smile
5y	Child_help	male	240302	Test1	2	3	Contentment 	lips_together
2y	E1_help	female	246661	Test1	3	3	Contentment 	lips_together
2y	E1_help	male	250591	Test1	3	4	Happiness 	Smile
2y	E1_help	male	251036	Test1	5	5	Happiness 	Smile
2y	Child_help	female	247039	Test1	5	4	Happiness 	Smile
5y	E1_help	female	243396	Test1	5	5	Happiness 	Smile
5y	E1_help	male	241039	Test1	4	4	Elated_joy	Dynamic_movements
