ID	Alter	Year	Month	Day	Age_days	Age_years
250543	02.05.12	2	5	12	882	2.4148
250391	02.05.14	2	5	14	884	2.4203
251536	02.05.16	2	5	16	886	2.4257
250135	02.05.16	2	5	16	886	2.4257
247039	02.05.23	2	5	23	893	2.4449
249632	02.05.25	2	5	25	895	2.4504
251930	02.05.25	2	5	25	895	2.4504
251703	02.05.27	2	5	27	897	2.4559
248543	02.06.00	2	6	0	900	2.4641
249239	02.06.01	2	6	1	901	2.4668
251036	02.06.02	2	6	2	902	2.4695
250422	02.06.02	2	6	2	902	2.4695
253940	02.06.04	2	6	4	904	2.4750
249546	02.06.06	2	6	6	906	2.4805
248461	02.06.09	2	6	9	909	2.4887
247474	02.06.11	2	6	11	911	2.4942
251487	02.06.11	2	6	11	911	2.4942
249054	02.06.11	2	6	11	911	2.4942
250015	02.06.12	2	6	12	912	2.4969
246983	02.06.13	2	6	13	913	2.4997
247224	02.06.13	2	6	13	913	2.4997
247456	02.06.15	2	6	15	915	2.5051
247236	02.06.17	2	6	17	917	2.5106
250591	02.06.17	2	6	17	917	2.5106
246661	02.06.18	2	6	18	918	2.5133
255137	02.06.18	2	6	18	918	2.5133
249525	02.06.20	2	6	20	920	2.5188
247527	02.06.22	2	6	22	922	2.5243
249233	02.06.26	2	6	26	926	2.5352
249799	02.06.26	2	6	26	926	2.5352
247384	02.06.28	2	6	28	928	2.5407
241079	05.05.03	5	5	3	1953	5.3470
241039	05.05.04	5	5	4	1954	5.3498
245115	05.05.04	5	5	4	1954	5.3498
243396	05.05.05	5	5	5	1955	5.3525
240850	05.05.06	5	5	6	1956	5.3552
240302	05.05.06	5	5	6	1956	5.3552
240891	05.05.07	5	5	7	1957	5.3580
240596	05.05.08	5	5	8	1958	5.3607
240914	05.05.09	5	5	9	1959	5.3634
240894	05.05.11	5	5	11	1961	5.3689
241090	05.05.12	5	5	12	1962	5.3717
240747	05.05.12	5	5	12	1962	5.3717
238433	05.05.13	5	5	13	1963	5.3744
240807	05.05.14	5	5	14	1964	5.3771
238435	05.05.16	5	5	16	1966	5.3826
238626	05.05.17	5	5	17	1967	5.3854
240346	05.05.19	5	5	19	1969	5.3908
240642	05.05.20	5	5	20	1970	5.3936
239845	05.05.24	5	5	24	1974	5.4045
238360	05.05.26	5	5	26	1976	5.4100
238928	05.05.28	5	5	28	1978	5.4155
240349	05.06.00	5	6	0	1980	5.4209
238734	05.06.05	5	6	5	1985	5.4346
238373	05.06.05	5	6	5	1985	5.4346
240383	05.06.05	5	6	5	1985	5.4346
240762	05.06.05	5	6	5	1985	5.4346
238930	05.06.07	5	6	7	1987	5.4401
238484	05.06.07	5	6	7	1987	5.4401
240529	05.06.09	5	6	9	1989	5.4456
238463	05.06.12	5	6	12	1992	5.4538
243582	05.06.13	5	6	13	1993	5.4565
238628	05.06.19	5	6	19	1999	5.4730
240929	05.06.28	5	6	28	2008	5.4976
