"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "chest"
"1" 250543 "02.05.12" 2 5 12 882 2.4148 "female" "2y" "Child_help" "Deco" "Nin_Step" "Test4" -0.0101336359649123
"2" 250543 "02.05.12" 2 5 12 882 2.4148 "female" "2y" "Child_help" "Tower" "Nin_Step" "Test2" -0.00363201754385965
"3" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "Child_help" "Deco" "San_Step" "Test1" 0.000235052631578953
"4" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "Child_help" "Tower" "San_Step" "Test3" -0.00730955263157895
"5" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.0414418787593985
"6" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "E1_help" "Tower" "San_Step" "Test2" -0.01266675
"7" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "Child_help" "Deco" "Nin_Step" "Test4" 0.0169597587719298
"8" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "Child_help" "Tower" "Nin_Step" "Test2" 0.0277321140350877
"9" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "E1_help" "Deco" "Nin_Step" "Test1" 0.0394268771929825
"10" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "E1_help" "Tower" "Nin_Step" "Test3" 0.00852419298245614
"11" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "Child_help" "Deco" "Nin_Step" "Test3" 0.000681736842105263
"12" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "Child_help" "Tower" "Nin_Step" "Test1" 0.00371832894736843
"13" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "E1_help" "Tower" "Nin_Step" "Test4" 0.0105321907894737
"14" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.0022565548245614
"15" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0145890745614035
"16" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" -0.00589042543859651
"17" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" 0.000445114035087713
"18" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 0.0146540197368421
"19" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0138233947368421
"20" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test2" -0.0221408289473684
"21" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test4" -0.0246279276315789
"22" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Deco" "Nin_Step" "Test3" -0.0324627105263158
"23" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Tower" "Nin_Step" "Test1" -0.00869655263157894
"24" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Deco" "Nin_Step" "Test2" -0.00669438157894736
"25" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Tower" "Nin_Step" "Test4" -0.0258112434210526
"26" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "Child_help" "Deco" "San_Step" "Test3" -0.00276677302631579
"27" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "Child_help" "Tower" "San_Step" "Test1" -0.00816473355263158
"28" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "E1_help" "Tower" "San_Step" "Test4" -0.00843197039473684
"29" 248543 "02.06.00" 2 6 0 900 2.4641 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" -0.0118793700657895
"30" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test1" 0.00248358552631579
"31" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0191728355263158
"32" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test2" 0.0143079473684211
"33" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "Child_help" "Deco" "San_Step" "Test2" 0.0273102993421053
"34" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "Child_help" "Tower" "San_Step" "Test4" 0.0250564111842105
"35" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "E1_help" "Deco" "San_Step" "Test3" 0.0102121085526316
"36" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "E1_help" "Tower" "San_Step" "Test1" 0.0062611019736842
"37" 250422 "02.06.02" 2 6 2 902 2.4695 "female" "2y" "Child_help" "Deco" "San_Step" "Test2" -0.0119647631578947
"38" 250422 "02.06.02" 2 6 2 902 2.4695 "female" "2y" "Child_help" "Tower" "San_Step" "Test4" -0.00658871052631579
"39" 250422 "02.06.02" 2 6 2 902 2.4695 "female" "2y" "E1_help" "Deco" "San_Step" "Test3" -0.00990331578947369
"40" 250422 "02.06.02" 2 6 2 902 2.4695 "female" "2y" "E1_help" "Tower" "San_Step" "Test1" -0.00156493421052631
"41" 253940 "02.06.04" 2 6 4 904 2.475 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test2" -0.00569427960526315
"42" 253940 "02.06.04" 2 6 4 904 2.475 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.033257990131579
"43" 253940 "02.06.04" 2 6 4 904 2.475 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test3" -0.000743542763157899
"44" 253940 "02.06.04" 2 6 4 904 2.475 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test1" 0.00259384539473684
"45" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test4" -0.00605476644736842
"46" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test2" -0.00931229276315789
"47" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test1" -0.00341829276315789
"48" 249546 "02.06.06" 2 6 6 906 2.4805 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test3" -0.0157051743421053
"49" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0184813388157895
"50" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test3" -0.0203625756578947
"51" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test4" 0.0232366377923976
"52" 248461 "02.06.09" 2 6 9 909 2.4887 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test2" -0.0463612467105263
"53" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test4" -0.00862177412280702
"54" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test3" 0.0131118837719298
"55" 247474 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test1" 0.00250854166666666
"56" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Deco" "San_Step" "Test2" -0.00956632894736843
"57" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test4" -0.00853151315789474
"58" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test3" -0.00152232894736842
"59" 251487 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Tower" "San_Step" "Test1" -0.00956632894736843
"60" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "Child_help" "Tower" "San_Step" "Test3" -0.0135274736842105
"61" 249054 "02.06.11" 2 6 11 911 2.4942 "female" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.00101743421052631
