"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Age_group" "Condition" "Game" "Team" "Phase" "hip"
"1" 250543 "02.05.12" 2 5 12 882 2.4148 "female" "2y" "Child_help" "Deco" "Nin_Step" "Test4" -0.00196171929824561
"2" 250543 "02.05.12" 2 5 12 882 2.4148 "female" "2y" "Child_help" "Tower" "Nin_Step" "Test2" 0.00940342543859649
"3" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "Child_help" "Deco" "San_Step" "Test1" 0.0168460723684211
"4" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "Child_help" "Tower" "San_Step" "Test3" 0.0029939342105263
"5" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "E1_help" "Deco" "San_Step" "Test4" 0.0366703195488722
"6" 250391 "02.05.14" 2 5 14 884 2.4203 "female" "2y" "E1_help" "Tower" "San_Step" "Test2" 0.0333424078947368
"7" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "Child_help" "Deco" "Nin_Step" "Test4" 0.0282339649122807
"8" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "Child_help" "Tower" "Nin_Step" "Test2" -0.0376851140350877
"9" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "E1_help" "Deco" "Nin_Step" "Test1" 0.0352558333333333
"10" 251536 "02.05.16" 2 5 16 886 2.4257 "male" "2y" "E1_help" "Tower" "Nin_Step" "Test3" 0.000984767543859645
"11" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "Child_help" "Deco" "Nin_Step" "Test3" 0.00582724342105263
"12" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "Child_help" "Tower" "Nin_Step" "Test1" 0.00713653947368422
"13" 250135 "02.05.16" 2 5 16 886 2.4257 "female" "2y" "E1_help" "Tower" "Nin_Step" "Test4" 0.000553828947368424
"14" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "Child_help" "Deco" "Chr_Han" "Test3" -0.00955481140350878
"15" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0311705833333333
"16" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "E1_help" "Deco" "Chr_Han" "Test2" 0.0101876622807017
"17" 247039 "02.05.23" 2 5 23 893 2.4449 "female" "2y" "E1_help" "Tower" "Chr_Han" "Test4" 0.0112400307017544
"18" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test3" 8.85460526315936e-05
"19" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Tower" "Chr_Han" "Test1" 0.0166586546052632
"20" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test2" -0.00709613486842105
"21" 249632 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test4" -0.0457473980263158
"22" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Deco" "Nin_Step" "Test3" -0.0422180679824561
"23" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "Child_help" "Tower" "Nin_Step" "Test1" -0.00231927192982456
"24" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Deco" "Nin_Step" "Test2" -0.0124700219298246
"25" 251930 "02.05.25" 2 5 25 895 2.4504 "male" "2y" "E1_help" "Tower" "Nin_Step" "Test4" -0.0387392916666667
"26" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "Child_help" "Deco" "San_Step" "Test3" 0.00279113486842105
"27" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "Child_help" "Tower" "San_Step" "Test1" -0.0114696809210526
"28" 251703 "02.05.27" 2 5 27 897 2.4559 "male" "2y" "E1_help" "Tower" "San_Step" "Test4" -0.0131672598684211
"29" 248543 "02.06.00" 2 6 0 900 2.4641 "female" "2y" "Child_help" "Tower" "Chr_Han" "Test1" -0.0258050419407895
"30" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "Child_help" "Deco" "Chr_Han" "Test1" -0.0077866677631579
"31" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "E1_help" "Deco" "Chr_Han" "Test4" -0.00275619407894737
"32" 249239 "02.06.01" 2 6 1 901 2.4668 "male" "2y" "E1_help" "Tower" "Chr_Han" "Test2" 0.00697334210526316
"33" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "Child_help" "Deco" "San_Step" "Test2" 0.0105766480263158
"34" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "Child_help" "Tower" "San_Step" "Test4" 0.0309512467105263
"35" 251036 "02.06.02" 2 6 2 902 2.4695 "male" "2y" "E1_help" "Deco" "San_Step" "Test3" 0.00300675986842107
