"Subject"	"Gender"	"Help"	"Condition"	"Team"	"Phase"	"Time"	"Change"
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	1	-0.0308173333333334
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	2	-0.0443386666666667
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	3	-0.0451186458333333
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	4	-0.045898625
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	5	-0.0611198125
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	6	-0.03482425
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	7	-0.00684518750000002
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	8	-0.00638631249999999
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	9	-0.00918574999999999
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	10	-0.00882987499999993
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	11	-0.0139725
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	12	-0.0526935
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	13	-0.0498776875
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	14	-0.055434375
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	15	-0.003471
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	16	-0.0132701249999999
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	17	-0.00871875
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	18	-0.03580925
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	1	-0.0846123333333333
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	2	-0.0595366666666667
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	3	-0.0460771458333333
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	4	-0.004866125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	5	0.0116941875
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	6	0.0138945
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	7	0.0177783125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	8	-0.0147573125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	9	-0.07534475
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	10	-0.050329375
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	11	-0.0308125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	12	-0.0123855
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	13	-0.00624918749999998
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	14	-0.011152125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	15	-0.002585
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	16	-0.018347125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	17	-0.01789175
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	18	-0.01197225
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	1	-0.036651
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	2	-0.0456115
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	3	-0.026246
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	4	-0.00688049999999996
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	5	-0.00506875000000001
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	6	0.01592375
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	7	0.00535600000000003
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	8	0.014258625
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	9	0.02316125
