"Subject"	"Gender"	"Help"	"Condition"	"Team"	"Phase"	"Time"	"Change"
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	1	-0.00543491666666666
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	2	-0.0337775833333333
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	3	-0.0359546666666667
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	4	-0.03813175
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	5	-0.025845125
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	6	-0.00376949999999998
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	7	0.03255003125
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	8	0.029183
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	9	0.02969
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	10	0.014047
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	11	-0.01072025
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	12	-0.040926625
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	13	-0.03868175
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	14	-0.04053575
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	15	0.00161600000000001
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	16	-0.00991787499999999
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	17	-0.01079225
"242348"	"F"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	18	-0.0376485
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	1	-0.0469689166666667
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	2	-0.0352260833333333
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	3	-0.0309601666666667
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	4	0.01688775
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	5	0.025211875
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	6	0.01427475
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	7	0.01758153125
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	8	-0.016763
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	9	-0.060904
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	10	-0.044773
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	11	-0.03776625
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	12	-0.024252625
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	13	-0.02712025
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	14	-0.0350195
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	15	-0.030157
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	16	-0.048679375
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	17	-0.05114625
"242348"	"F"	"Control"	"non-Observed"	"NiSt"	"Test2"	18	-0.0480435
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	1	0.06788775
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	2	0.03695325
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	3	0.055275125
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	4	0.073597
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	5	0.046866
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	6	0.06812125
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	7	0.0649705
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	8	0.09165875
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	9	0.118347
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	10	0.0892515
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	11	0.05885825
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	12	0.05205475
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	13	0.062424375
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	14	0.072794
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	15	0.1120235
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	16	0.099401875
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	17	0.088736
"242885"	"F"	"Control"	"Observed"	"NiSt"	"Test2"	18	0.096603
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	1	-0.06155775
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	2	-0.0538067916666667
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	3	-0.0610053333333333
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	4	-0.09840075
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	5	-0.0829348888888889
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	6	-0.0668262777777778
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	7	-0.0507176666666667
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	8	-0.0343148055555555
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	9	-0.0115064444444444
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	10	-0.0270705833333333
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	11	-0.0279032222222222
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	12	-0.0377936111111111
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	13	-0.0368405
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	14	-0.0376447916666667
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	15	-0.0228935833333333
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	16	-0.018975625
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	17	-0.000895562500000002
"248867"	"M"	"Child-helped"	"non-Observed"	"NiSt"	"Test1"	18	0.00167675
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	1	-0.08427775
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	2	-0.0776080416666667
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	3	-0.0709383333333333
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	4	-0.06823975
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	5	-0.0570378888888889
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	6	-0.0596755277777778
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	7	-0.0623131666666667
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	8	-0.0616645555555555
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	9	-0.0443704444444444
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	10	-0.0381830833333333
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	11	-0.0319957222222222
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	12	-0.0135526111111111
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	13	-0.0168445
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	14	-0.0342555416666667
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	15	-0.0516665833333333
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	16	-0.068638375
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	17	-0.0682320625
"248867"	"M"	"Control"	"non-Observed"	"NiSt"	"Test2"	18	-0.05414025
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	1	-0.000967000000000003
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	2	-0.00491475
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	3	-0.0088625
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	4	0.00372325
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	5	0.004987
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	6	-0.001521
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	7	0.008128
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	8	-0.00433062499999999
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	9	-0.00381775
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	10	-0.0014289375
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	11	-0.00836462499999999
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	12	-0.0013400625
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	13	-0.0011985
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	14	0.01103025
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	15	-0.000854249999999959
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	16	-0.008064375
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	17	-0.027261
"243215"	"M"	"Child-helped"	"Observed"	"SaSt"	"Test1"	18	-0.0223425
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	1	0.016457
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	2	-7.9249999999996e-05
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	3	-0.007782125
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	4	-0.00717975
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	5	0.005505
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	6	0.0324845
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	7	0.022939
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	8	0.00384587499999999
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	9	-0.00227575
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	10	-0.0019509375
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	11	0.017066375
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	12	0.0291131875
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	13	0.00636649999999996
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	14	-0.01809275
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	15	-0.028619
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	16	-0.005445375
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	17	0.005243
"243215"	"M"	"Control"	"Observed"	"SaSt"	"Test2"	18	0.0032785
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	1	-0.021486
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	2	-0.025715
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	3	-0.00825000000000001
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	4	-0.00531324999999998
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	5	-0.00964524999999999
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	6	-0.03018075
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	7	-0.0767805
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	8	-0.1019671875
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	9	-0.10986325
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	10	-0.1214075
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	11	-0.08728125
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	12	-0.073322125
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	13	-0.0659512083333334
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	14	-0.0275489166666667
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	15	-0.0580054999999999
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	16	-0.0773360833333333
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	17	-0.0959191666666666
"243017"	"F"	"Child-helped"	"non-Observed"	"SaSt"	"Test1"	18	-0.10392625
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	1	-0.00914275000000001
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	2	0.00748400000000002
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	3	0.0179225
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	4	0.01383275
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	5	-0.00667574999999999
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	6	-0.0256985
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	7	-0.0707855000000001
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	8	-0.0827041875
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	9	-0.07733225
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	10	-0.0657455
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	11	-0.03529725
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	12	-0.025016125
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	13	-0.028718875
"243017"	"F"	"Control"	"non-Observed"	"SaSt"	"Test2"	14	-0.00139025000000001
