"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Help" "Condition" "Team" "Phase" "chest"
"1" 242348 "05.05.01" 5 5 1 1951 5.34155 "F" "Child-helped" "non-Observed" "NiSt" "Test1" -0.0292562025462963
"2" 242348 "05.05.01" 5 5 1 1951 5.34155 "F" "Control" "non-Observed" "NiSt" "Test2" -0.0224195636574074
"3" 242985 "05.05.01" 5 5 1 1951 5.34155 "F" "Child-helped" "Observed" "JuSt" "Test1" -0.0151976909722222
"4" 242985 "05.05.01" 5 5 1 1951 5.34155 "F" "Control" "Observed" "JuSt" "Test2" -0.00539557986111111
"5" 243371 "05.05.02" 5 5 2 1952 5.34428 "F" "Child-helped" "Observed" "JuSt" "Test1" 0.0198803333333333
"6" 244034 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "non-Observed" "NiSt" "Test1" 0.0104552094907407
"7" 243038 "05.05.03" 5 5 3 1953 5.34702 "F" "Child-helped" "non-Observed" "NiSt" "Test1" -0.00163978124999999
"8" 243038 "05.05.03" 5 5 3 1953 5.34702 "F" "Control" "non-Observed" "NiSt" "Test2" 0.02377371875
"9" 243376 "05.05.03" 5 5 3 1953 5.34702 "M" "Child-helped" "Observed" "NiSt" "Test2" 0.0257295833333333
"10" 243376 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "Observed" "NiSt" "Test1" 0.0139556111111111
"11" 243341 "05.05.03" 5 5 3 1953 5.34702 "M" "Child-helped" "Observed" "TuSt" "Test2" NA
"12" 243341 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "Observed" "TuSt" "Test1" NA
"13" 242463 "05.05.04" 5 5 4 1954 5.34976 "F" "Child-helped" "non-Observed" "SaSt" "Test1" -0.0372356336805555
"14" 242463 "05.05.04" 5 5 4 1954 5.34976 "F" "Control" "non-Observed" "SaSt" "Test2" -0.0388901475694444
"15" 244069 "05.05.04" 5 5 4 1954 5.34976 "M" "Child-helped" "non-Observed" "SaSt" "Test2" -0.0194274375
"16" 244069 "05.05.04" 5 5 4 1954 5.34976 "M" "Control" "non-Observed" "SaSt" "Test1" -0.0304324652777778
"17" 242810 "05.05.05" 5 5 5 1955 5.3525 "F" "Child-helped" "Observed" "JuSt" "Test2" 0.0410215243055556
"18" 242810 "05.05.05" 5 5 5 1955 5.3525 "F" "Control" "Observed" "JuSt" "Test1" 0.0330994479166667
"19" 243087 "05.05.05" 5 5 5 1955 5.3525 "M" "Control" "non-Observed" "TuSt" "Test1" 0.0174068518518519
"20" 243017 "05.05.06" 5 5 6 1956 5.35524 "F" "Child-helped" "non-Observed" "SaSt" "Test1" -0.0272111898148148
"21" 243017 "05.05.06" 5 5 6 1956 5.35524 "F" "Control" "non-Observed" "SaSt" "Test2" -0.00911747916666668
"22" 242349 "05.05.07" 5 5 7 1957 5.35797 "F" "Child-helped" "non-Observed" "NiSt" "Test1" 0.00505257638888889
"23" 242349 "05.05.07" 5 5 7 1957 5.35797 "F" "Control" "non-Observed" "NiSt" "Test2" 0.0054404236111111
