"Subject" "Alter" "Year" "Month" "Day" "Age_days" "Age_years" "Gender" "Help" "Condition" "Team" "Phase" "expansion"
"1" 242348 "05.05.01" 5 5 1 1951 5.34155 "F" "Child-helped" "non-Observed" "NiSt" "Test1" -0.016753396412037
"2" 242348 "05.05.01" 5 5 1 1951 5.34155 "F" "Control" "non-Observed" "NiSt" "Test2" 0.0033484369212963
"3" 242985 "05.05.01" 5 5 1 1951 5.34155 "F" "Child-helped" "Observed" "JuSt" "Test1" 0.0209372569444445
"4" 242985 "05.05.01" 5 5 1 1951 5.34155 "F" "Control" "Observed" "JuSt" "Test2" 0.00754025694444444
"5" 243371 "05.05.02" 5 5 2 1952 5.34428 "F" "Child-helped" "Observed" "JuSt" "Test1" -0.0184534097222222
"6" 244034 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "non-Observed" "NiSt" "Test1" 0.0112611261574074
"7" 243038 "05.05.03" 5 5 3 1953 5.34702 "F" "Child-helped" "non-Observed" "NiSt" "Test1" -0.00253331944444443
"8" 243038 "05.05.03" 5 5 3 1953 5.34702 "F" "Control" "non-Observed" "NiSt" "Test2" -0.0113100763888889
"9" 243376 "05.05.03" 5 5 3 1953 5.34702 "M" "Child-helped" "Observed" "NiSt" "Test2" 0.0726271611111111
"10" 243376 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "Observed" "NiSt" "Test1" 0.0669420430555556
"11" 243341 "05.05.03" 5 5 3 1953 5.34702 "M" "Child-helped" "Observed" "TuSt" "Test2" NA
"12" 243341 "05.05.03" 5 5 3 1953 5.34702 "M" "Control" "Observed" "TuSt" "Test1" NA
"13" 242463 "05.05.04" 5 5 4 1954 5.34976 "F" "Child-helped" "non-Observed" "SaSt" "Test1" -0.0380796545138889
"14" 242463 "05.05.04" 5 5 4 1954 5.34976 "F" "Control" "non-Observed" "SaSt" "Test2" -0.0379381128472222
"15" 244069 "05.05.04" 5 5 4 1954 5.34976 "M" "Child-helped" "non-Observed" "SaSt" "Test2" -0.0181826597222222
"16" 244069 "05.05.04" 5 5 4 1954 5.34976 "M" "Control" "non-Observed" "SaSt" "Test1" 0.00405536805555554
"17" 242810 "05.05.05" 5 5 5 1955 5.3525 "F" "Child-helped" "Observed" "JuSt" "Test2" 0.0237312118055556
"18" 242810 "05.05.05" 5 5 5 1955 5.3525 "F" "Control" "Observed" "JuSt" "Test1" 0.0321140451388889
"19" 243087 "05.05.05" 5 5 5 1955 5.3525 "M" "Control" "non-Observed" "TuSt" "Test1" 0.0105518842592593
"20" 243017 "05.05.06" 5 5 6 1956 5.35524 "F" "Child-helped" "non-Observed" "SaSt" "Test1" 0.0338943206018518
"21" 243017 "05.05.06" 5 5 6 1956 5.35524 "F" "Control" "non-Observed" "SaSt" "Test2" 0.0247915590277778
"22" 242349 "05.05.07" 5 5 7 1957 5.35797 "F" "Child-helped" "non-Observed" "NiSt" "Test1" 0.00771129861111111
"23" 242349 "05.05.07" 5 5 7 1957 5.35797 "F" "Control" "non-Observed" "NiSt" "Test2" 0.0214214930555555
"24" 241191 "05.05.08" 5 5 8 1958 5.36071 "F" "Child-helped" "non-Observed" "TuSt" "Test2" -0.00932335727339177
"25" 243993 "05.05.08" 5 5 8 1958 5.36071 "M" "Child-helped" "non-Observed" "TuSt" "Test2" -0.000747274305555555
"26" 243993 "05.05.08" 5 5 8 1958 5.36071 "M" "Control" "non-Observed" "TuSt" "Test1" -0.0301829895833333
"27" 242867 "05.05.09" 5 5 9 1959 5.36345 "M" "Child-helped" "Observed" "SaSt" "Test1" 0.0134693842592592
"28" 242867 "05.05.09" 5 5 9 1959 5.36345 "M" "Control" "Observed" "SaSt" "Test2" 0.00841561342592594
"29" 243032 "05.05.11" 5 5 11 1961 5.36893 "M" "Child-helped" "Observed" "SaSt" "Test1" -0.00794985185185185
"30" 243032 "05.05.11" 5 5 11 1961 5.36893 "M" "Control" "Observed" "SaSt" "Test2" 0.00272707870370368
"31" 242981 "05.05.11" 5 5 11 1961 5.36893 "F" "Child-helped" "Observed" "TuSt" "Test2" 0.029899875
"32" 242885 "05.05.13" 5 5 13 1963 5.3744 "F" "Control" "Observed" "NiSt" "Test2" -0.0707077152777778
"33" 242956 "05.05.14" 5 5 14 1964 5.37714 "F" "Child-helped" "non-Observed" "NiSt" "Test2" 0.0169207083333333
"34" 243363 "05.05.15" 5 5 15 1965 5.37988 "F" "Child-helped" "Observed" "NiSt" "Test1" -0.00950447962962963
"35" 243363 "05.05.15" 5 5 15 1965 5.37988 "F" "Control" "Observed" "NiSt" "Test2" -0.0409401138888888
"36" 243136 "05.05.17" 5 5 17 1967 5.38535 "M" "Child-helped" "Observed" "SaSt" "Test1" NA
"37" 243136 "05.05.17" 5 5 17 1967 5.38535 "M" "Control" "Observed" "SaSt" "Test2" NA
"38" 243482 "05.05.17" 5 5 17 1967 5.38535 "F" "Child-helped" "non-Observed" "NiSt" "Test1" 0.0149082291666667
"39" 243482 "05.05.17" 5 5 17 1967 5.38535 "F" "Control" "non-Observed" "NiSt" "Test2" -0.0108337986111111
"40" 243101 "05.05.17" 5 5 17 1967 5.38535 "M" "Child-helped" "non-Observed" "JuSt" "Test1" 0.0143858090277778
"41" 243101 "05.05.17" 5 5 17 1967 5.38535 "M" "Control" "non-Observed" "JuSt" "Test2" 0.0115885173611111
"42" 243479 "05.05.21" 5 5 21 1971 5.3963 "F" "Child-helped" "Observed" "NiSt" "Test1" 0.0182416145833333
"43" 243479 "05.05.21" 5 5 21 1971 5.3963 "F" "Control" "Observed" "NiSt" "Test2" -0.0160038020833333
"44" 241184 "05.05.21" 5 5 21 1971 5.3963 "F" "Control" "Observed" "JuSt" "Test1" 0.00687943750000003
"45" 243543 "05.05.22" 5 5 22 1972 5.39904 "M" "Child-helped" "non-Observed" "SaSt" "Test1" -0.033047575
"46" 243543 "05.05.22" 5 5 22 1972 5.39904 "M" "Control" "non-Observed" "SaSt" "Test2" -0.0303456736111111
"47" 243495 "05.05.22" 5 5 22 1972 5.39904 "M" "Child-helped" "Observed" "NiSt" "Test1" -0.0211730416666667
"48" 243495 "05.05.22" 5 5 22 1972 5.39904 "M" "Control" "Observed" "NiSt" "Test2" -0.0157620138888889
"49" 243185 "05.05.22" 5 5 22 1972 5.39904 "M" "Child-helped" "Observed" "NiSt" "Test1" 0.0115346319444445
"50" 243185 "05.05.22" 5 5 22 1972 5.39904 "M" "Control" "Observed" "NiSt" "Test2" -0.00401221527777778
"51" 243384 "05.05.23" 5 5 23 1973 5.40178 "M" "Control" "Observed" "SaSt" "Test1" 0.0437157222222222
