"Dyad"	"Subject"	"Condition"	"Need"	"Side"	"Gender"	"Time"	"Change"	"helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	1	0.00298333333333334	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	2	-0.00368333333333334	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	3	0.00442416666666665	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	4	0.0160925	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	5	0.0164083333333333	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	6	0.0385599999999999	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	7	0.0277770833333333	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	8	0.0234441666666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	9	0.0218420833333333	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	10	0.0180283333333334	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	11	0.0237991666666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	12	0.0285683333333334	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	13	0.0318608333333333	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	14	0.0412933333333333	"not-helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	1	-0.0235805555555555	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	2	-0.0140984722222222	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	3	-0.00976527777777778	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	4	-0.01086125	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	5	-0.0113072222222222	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	6	-0.0158168518518519	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	7	-0.00826648148148151	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	8	-0.0052186111111111	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	9	0.00471175925925921	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	10	0.0150379629629629	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	11	0.01144	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	12	0.0103008333333334	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	13	0.012735	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	14	0.00289333333333336	"helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	1	0.00998333333333332	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	2	-0.00197166666666668	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	3	0.00109666666666666	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	4	0.00348249999999997	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	5	0.00376166666666664	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	6	0.00243111111111113	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	7	0.00108333333333333	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	8	-0.00493416666666666	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	9	-0.0248483333333333	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	10	0.000901666666666662	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	11	0.00593999999999997	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	12	0.0103716666666667	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	13	0.0142	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	14	0.0239533333333334	"not-helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	1	0.0518658333333334	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	2	0.0424675	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	3	0.0244141666666667	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	4	0.00929749999999999	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	5	-0.00213999999999998	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	6	0.00249673611111109	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	7	0.00175263888888885	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	8	-0.000409722222222242	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	9	-0.00434881944444443	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	10	-0.00826458333333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	11	-0.0148683333333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	12	-0.0220108333333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	13	-0.0355633333333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	14	-0.0239433333333334	"helped"
