"Subject.Nr" "In_sample" "Datum" "Subject" "Geb." "Age_days" "Age_years" "Dyad" "Condition" "Need" "Side" "Gender" "helped" "expansion"
"1" 19 "YES" 42772 251599 41263 1509 4.131416838 10 "con" "needy" "left" "female" "helped" -0.0259328180555555
"2" 20 "YES" 42772 251594 41173 1599 4.377823409 10 "con" "non-needy" "right" "female" "not-helped" 0.0154540505952381
"3" 21 "YES" 42772 251580 41284 1488 4.073921971 11 "inc" "needy" "left" "male" "not-helped" -0.0101712452380952
"4" 22 "YES" 42772 251590 41175 1597 4.372347707 11 "inc" "non-needy" "right" "male" "helped" 0.0135573095238095
"5" 23 "YES" 42772 242725 41249 1523 4.169746749 12 "con" "non-needy" "left" "female" "not-helped" 0.0179175202380952
"6" 24 "YES" 42772 252047 41135 1637 4.481861739 12 "con" "needy" "right" "female" "helped" -0.00480655002164499
"7" 25 "YES" 42773 243899 41223 1550 4.24366872 13 "inc" "needy" "right" "male" "not-helped" -0.000637133928571429
"8" 26 "YES" 42773 246103 41183 1590 4.353182752 13 "inc" "non-needy" "left" "male" "helped" -0.00339349702380954
"9" 27 "YES" 42773 243647 41215 1558 4.265571526 14 "con" "needy" "right" "male" "helped" -0.0208375089285714
"10" 28 "YES" 42773 248498 41279 1494 4.090349076 14 "con" "non-needy" "left" "male" "not-helped" -0.0128121458333333
"11" 29 "YES" 42773 248504 41243 1530 4.188911704 15 "inc" "needy" "right" "female" "not-helped" -0.0162215357142857
"12" 30 "YES" 42773 251333 41170 1603 4.388774812 15 "inc" "non-needy" "left" "female" "helped" NA
"13" 31 "YES" 42782 251980 41155 1627 4.454483231 16 "inc" "non-needy" "right" "male" "helped" 0.00995194136904764
"14" 32 "YES" 42782 245065 41300 1482 4.057494867 16 "inc" "needy" "left" "male" "not-helped" 0.00492105357142859
"15" 33 "YES" 42782 252129 41185 1597 4.372347707 17 "con" "non-needy" "right" "male" "not-helped" 0.00265388392857143
"16" 34 "YES" 42782 254893 41257 1525 4.17522245 17 "con" "needy" "left" "male" "helped" 0.013250935952381
"17" 37 "YES" 42795 243412 41166 1629 4.459958932 19 "con" "non-needy" "right" "female" "not-helped" -0.00254735416666665
"18" 38 "YES" 42795 251118 41237 1558 4.265571526 19 "con" "needy" "left" "female" "helped" 0.00489513869047618
"19" 39 "YES" 42795 251116 41254 1541 4.219028063 20 "inc" "needy" "left" "female" "not-helped" -0.0324265892857143
"20" 40 "YES" 42795 245328 41292 1503 4.114989733 20 "inc" "non-needy" "right" "female" "helped" 0.00212829464285712
