"Helped"	"Context"	"Observation"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"1"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.538672142_f_D27"	"D27"	5.538672142	0.0254959428308824	0.0087337373889771
"2"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.571526352_f_D16"	"D16"	5.571526352	0.00384417401960784	0.0166975183417011
"3"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.856262834_f_D76"	"D76"	5.856262834	-0.000740802450980392	0.00396879438551861
"4"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.891854894_f_D22"	"D22"	5.891854894	0.00606555098039214	0.0146072697722811
"5"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.900068446_f_D71"	"D71"	5.900068446	-0.0133924019607843	0.00455102022336294
"6"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.478439425_f_D102"	"D102"	5.478439425	0.0161001279411765	0.0131514926715169
"7"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.440109514_m_D51"	"D51"	5.440109514	-0.0289727678253119	0.00978745595111325
"8"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.585215606_m_D48"	"D48"	5.585215606	0.042391054248366	0.0162931489717693
"9"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.615331964_m_D15"	"D15"	5.615331964	-0.0012434431372549	0.0069852538232348
"10"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.727583847_m_D78"	"D78"	5.727583847	0.0431722282913165	0.0251374777582935
"11"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.815195072_m_D50"	"D50"	5.815195072	-0.0098404300857843	0.00660009060099546
"12"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.880903491_m_D43"	"D43"	5.880903491	-0.000515328431372527	0.0116545793145952
"13"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.941136208_m_D81"	"D81"	5.941136208	0.0127436944444444	0.00916211900100835
"14"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_6.067077344_m_D80"	"D80"	6.067077344	-0.00411771237745097	0.00648413153149654
"15"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.549623546_m_D103"	"D103"	5.549623546	-0.0109655664215686	0.0195718587550168
"16"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.930184805_m_D90"	"D90"	5.930184805	-0.0693068815678903	0.0233956162589294
"17"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.585215606_f_D9"	"D9"	5.585215606	0.0117731324754902	0.0276395141983429
"18"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.735797399_f_D67"	"D67"	5.735797399	0.0699455469187675	0.0124376031062132
"19"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.861738535_f_D38"	"D38"	5.861738535	0.064427273885918	0.0211394295651673
"20"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.875427789_f_D49"	"D49"	5.875427789	0.0449000196078431	0.0117459723097047
"21"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E2_5.546885695_f_D97"	"D97"	5.546885695	-0.00705067071078431	0.00733676755363515
"22"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.349760438_m_D46"	"D46"	5.349760438	0.0418201803921569	0.0180084251756367
"23"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.579739904_m_D45"	"D45"	5.579739904	0.0177340915499533	0.0094972591838534
"24"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.604380561_m_D23"	"D23"	5.604380561	0.105580640424591	0.0418327263295859
"25"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.930184805_m_D70"	"D70"	5.930184805	0.0696597206757703	0.0162205017379141
"26"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_6.080766598_m_D19"	"D19"	6.080766598	0.00435496691176471	0.0453893748787635
