"helped"	"Context"	"Condition"	"Gender"	"Dyade"	"Target"	"Subject"	"Age"	"Experimenter"	"Mean"	"SD"
"1"	"helped"	"con"	"obs"	"f"	"D102"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.478439425_f_D102"	5.478439425	"E2"	0.0113157506127451	0.00553873477118009
"2"	"helped"	"con"	"obs"	"f"	"D16"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.571526352_f_D16"	5.571526352	"E1"	0.00328012083333334	0.00361715722361015
"3"	"helped"	"con"	"obs"	"f"	"D22"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.891854894_f_D22"	5.891854894	"E1"	-0.0194719264705882	0.0065311576569175
"4"	"helped"	"con"	"obs"	"f"	"D27"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.538672142_f_D27"	5.538672142	"E1"	-0.0589142723039216	0.00502836851033756
"5"	"helped"	"con"	"obs"	"f"	"D71"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.900068446_f_D71"	5.900068446	"E1"	0.0226649575163399	0.00815007647687865
"6"	"helped"	"con"	"obs"	"f"	"D76"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.856262834_f_D76"	5.856262834	"E1"	0.0241334990196078	0.0024444303990743
"7"	"helped"	"con"	"obs"	"m"	"D103"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.549623546_m_D103"	5.549623546	"E2"	-0.00680865	0.00855348349136687
"8"	"helped"	"con"	"obs"	"m"	"D15"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.615331964_m_D15"	5.615331964	"E1"	0.021813168504902	0.0170157770018108
"9"	"helped"	"con"	"obs"	"m"	"D43"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.880903491_m_D43"	5.880903491	"E1"	0.00205580882352943	0.00607037079518802
"10"	"helped"	"con"	"obs"	"m"	"D48"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.585215606_m_D48"	5.585215606	"E1"	-0.0099401049019608	0.0223279054277059
"11"	"helped"	"con"	"obs"	"m"	"D50"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.815195072_m_D50"	5.815195072	"E1"	0.00914865968137257	0.00490024566416537
"12"	"helped"	"con"	"obs"	"m"	"D51"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.440109514_m_D51"	5.440109514	"E1"	0.0062019883392751	0.0033042844296264
"13"	"helped"	"con"	"obs"	"m"	"D78"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.727583847_m_D78"	5.727583847	"E1"	0.0323293606442577	0.0059929808673364
