"helped"	"Context"	"Condition"	"Gender"	"Target"	"Subject"	"Dyade"	"Age"	"Mean"	"SD"
"1"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.538672142_f_D27"	"D27"	5.538672142	0.0844102151348039	0.0117938303696945
"2"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.571526352_f_D16"	"D16"	5.571526352	0.000564053186274506	0.0163687316453717
"3"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.856262834_f_D76"	"D76"	5.856262834	-0.0248743014705882	0.0028382618342938
"4"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.891854894_f_D22"	"D22"	5.891854894	0.0255374774509804	0.0128537353267261
"5"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.900068446_f_D71"	"D71"	5.900068446	-0.0360573594771242	0.00785542207794452
"6"	"helped"	"con"	"obs"	"f"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.478439425_f_D102"	"D102"	5.478439425	0.00478437732843137	0.0151195445152697
"7"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.440109514_m_D51"	"D51"	5.440109514	-0.035174756164587	0.00822298129833873
"8"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.585215606_m_D48"	"D48"	5.585215606	0.0523311591503268	0.0087147444756221
"9"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.615331964_m_D15"	"D15"	5.615331964	-0.0230566116421569	0.0172097049967676
"10"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.727583847_m_D78"	"D78"	5.727583847	0.0108428676470588	0.023983483693891
"11"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.815195072_m_D50"	"D50"	5.815195072	-0.0189890897671569	0.00233252592812021
"12"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.880903491_m_D43"	"D43"	5.880903491	-0.00257113725490196	0.0101380388450239
"13"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_5.941136208_m_D81"	"D81"	5.941136208	0.018641591853408	0.00928831325138179
"14"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E1_6.067077344_m_D80"	"D80"	6.067077344	0.00183171899509804	0.00913389015835609
"15"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.549623546_m_D103"	"D103"	5.549623546	-0.00415691642156863	0.0195877131361714
"16"	"helped"	"con"	"obs"	"m"	"nontarget"	"NeeCo3eye_obs_con_nontarget_E2_5.930184805_m_D90"	"D90"	5.930184805	-0.0364004388397464	0.0171829026673075
"17"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.585215606_f_D9"	"D9"	5.585215606	-5.8171446078433e-05	0.00967067561638533
"18"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.735797399_f_D67"	"D67"	5.735797399	0.0241074408263305	0.00934132753274766
"19"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.861738535_f_D38"	"D38"	5.861738535	0.0493746057040998	0.0253239928751514
"20"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.875427789_f_D49"	"D49"	5.875427789	0.0300650179738562	0.0084462510135103
"21"	"helped"	"con"	"unobs"	"f"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E2_5.546885695_f_D97"	"D97"	5.546885695	-0.0198710325980392	0.00939613185230087
"22"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.349760438_m_D46"	"D46"	5.349760438	0.0669470967320261	0.0227017972495371
"23"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.579739904_m_D45"	"D45"	5.579739904	0.0227905482726424	0.00484791217028611
"24"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.604380561_m_D23"	"D23"	5.604380561	0.120423294265074	0.0231661499814572
"25"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_5.930184805_m_D70"	"D70"	5.930184805	0.060073762254902	0.0217791595509832
"26"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_6.080766598_m_D19"	"D19"	6.080766598	-0.0429005643382353	0.0551454357996217
"27"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_6.113620808_m_D79"	"D79"	6.113620808	-0.0325203236519608	0.00750522419514639
"28"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_6.124572211_m_D39"	"D39"	6.124572211	0.0276137710784314	0.0119464338467541
"29"	"helped"	"con"	"unobs"	"m"	"nontarget"	"NeeCo3eye_unobs_con_nontarget_E1_6.130047912_m_D40"	"D40"	6.130047912	-0.0138190906629318	0.0049575257411252
"30"	"helped"	"incon"	"obs"	"f"	"target"	"NeeCo3eye_obs_incon_target_E1_5.360711841_f_D26"	"D26"	5.360711841	0.0302741154995331	0.00717121292672112
