Subject	ID	Condition	Age	Gender	Age.cont	Trial	Mean
20190605T091341_ProShame2_17_w_unobs_4_NA_E2_3_4.013689254	17	unobs	4	w	4.013689254	Test_1	-1.0236666666663333e-4
20190705T094651_ProShame2_79_m_obs_4_M_E2_6_4.054757016	79	obs	4	m	4.054757016	Test_1	0.009782793269230771
20190705T093018_ProShame2_78_w_obs_4_M_E2_6_4.054757016	78	obs	4	w	4.054757016	Test_1	-0.0045289384615384695
20190815T085953_ProShame2_52_w_unobs_4_NA_E1_11_4.060232717	52	unobs	4	w	4.060232717	Test_1	-0.01733755833333331
20190906T083128_ProShame2_111_w_unobs_4_NA_E1_12_4.060232717	111	unobs	4	w	4.060232717	Test_1	-0.06138357615821676
20190815T102203_ProShame2_107_m_unobs_4_NA_E2_11_4.27652293	107	unobs	4	m	4.27652293	Test_1	-0.01495927884615383
20190723T092116_ProShame2_41_m_unobs_4_NA_E2_8_4.284736482	41	unobs	4	m	4.284736482	Test_1	-0.01597782692307698
20190815T103253_ProShame2_108_m_unobs_4_NA_E2_11_4.336755647	108	unobs	4	m	4.336755647	Test_1	0.018156807692307677
20190718T094249_ProShame2_35_m_unobs_4_NA_E2_7_4.34770705	35	unobs	4	m	4.34770705	Test_1	-0.007011072115384589
20190925T094811_ProShame2_138_m_obs_4_F_E2_13_4.366872005	138	obs	4	m	4.366872005	Test_1	-0.02178607532051281
20190719T101907_ProShame2_90_m_obs_4_M_E2_8_4.396988364	90	obs	4	m	4.396988364	Test_1	-0.016177402243589777
20190723T102440_ProShame2_44_m_unobs_4_NA_E1_8_4.421629021	44	unobs	4	m	4.421629021	Test_1	-0.028752783653846214
20190925T103209_ProShame2_140_m_obs_4_F_E2_13_4.440793977	140	obs	4	m	4.440793977	Test_1	0.027579538461538416
20190815T093011_ProShame2_105_w_unobs_4_NA_E1_11_4.470910335	105	unobs	4	w	4.470910335	Test_1	0.08731392692307695
20190718T095446_ProShame2_36_w_unobs_4_NA_E1_7_4.495550992	36	unobs	4	w	4.495550992	Test_1	-0.042091945512820465
20190814T101129_ProShame2_48_m_unobs_4_NA_E2_10_4.501026694	48	unobs	4	m	4.501026694	Test_1	-0.0015581833333332491
20190703T101223_ProShame2_73_w_obs_4_M_E2_6_4.506502396	73	obs	4	w	4.506502396	Test_1	0.02331128589743586
20190801T094227_ProShame2_100_w_obs_4_M_E2_10_4.5229295	100	obs	4	w	4.5229295	Test_1	0.0085191875
20191010T105901_ProShame2_122_w_unobs_4_F_E1_14_4.558521561	122	unobs	4	w	4.558521561	Test_1	0.009220802884615362
20190621T094648_ProShame2_66_m_obs_4_F_E1_5_4.577686516	66	obs	4	m	4.577686516	Test_1	0.07550997435897439
20190703T095641_ProShame2_75_m_obs_4_M_E2_6_4.583162218	75	obs	4	m	4.583162218	Test_1	-0.023722778205128168
20190703T092802_ProShame2_74_w_obs_4_M_E2_6_4.583162218	74	obs	4	w	4.583162218	Test_1	0.029989585897435896
20190723T082441_ProShame2_38_w_unobs_4_NA_E1_8_4.629705681	38	unobs	4	w	4.629705681	Test_1	-0.04267051923076924
20190527T095051_ProShame2_55_m_obs_4_F_E1_3_4.635181383	55	obs	4	m	4.635181383	Test_1	0.004239129807692268
20190926T105915_ProShame2_146_m_obs_4_F_E1_14_4.651608487	146	obs	4	m	4.651608487	Test_1	-0.00423466794871792
20190815T095450_ProShame2_106_m_unobs_4_NA_E2_11_4.670773443	106	unobs	4	m	4.670773443	Test_1	0.004865462225274749
20190801T090309_ProShame2_98_w_obs_4_M_E2_10_4.684462697	98	obs	4	w	4.684462697	Test_1	-0.0019041423076922965
20190628T095218_ProShame2_72_m_obs_4_M_E2_5_4.698151951	72	obs	4	m	4.698151951	Test_1	0.010347804487179412
20190619T103811_ProShame2_63_w_obs_4_M_E1_4_4.709103354	63	obs	4	w	4.709103354	Test_1	-0.050834367307692405
20190612T094719_ProShame2_23_m_unobs_4_NA_E1_4_4.728268309	23	unobs	4	m	4.728268309	Test_1	-0.0349169551282051
20190906T092447_ProShame2_118_w_unobs_4_NA_E1_12_4.744695414	118	unobs	4	w	4.744695414	Test_1	-0.027639067307692312
20190801T093228_ProShame2_99_m_obs_4_M_E2_10_4.752908966	99	obs	4	m	4.752908966	Test_1	0.004164884294871801
20190628T091311_ProShame2_70_w_obs_4_M_E2_5_4.76386037	70	obs	4	w	4.76386037	Test_1	-2.6754764957263974e-4
20190723T103926_ProShame2_45_m_unobs_4_NA_E1_8_4.788501027	45	unobs	4	m	4.788501027	Test_1	0.017080978997975678
20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243	54	obs	4	w	4.79945243	Test_1	-0.007845757506747665
20190815T082813_ProShame2_50_m_unobs_4_NA_E1_11_4.802190281	50	unobs	4	m	4.802190281	Test_1	-0.04015233589743593
20190619T094412_ProShame2_61_m_obs_4_M_E2_4_4.815879535	61	obs	4	m	4.815879535	Test_1	0.010423785256410271
20190628T084403_ProShame2_69_w_obs_4_M_E2_5_4.818617385	69	obs	4	w	4.818617385	Test_1	-0.017308732692307698
20190815T084933_ProShame2_51_m_unobs_4_NA_E1_11_4.837782341	51	unobs	4	m	4.837782341	Test_1	-0.015317009615384613
20190723T091126_ProShame2_40_m_unobs_4_NA_E2_8_4.845995893	40	unobs	4	m	4.8459958930000004	Test_1	0.009120556776556769
20191011T094859_ProShame2_125_w_unobs_4_NA_E1_13_4.878850103	125	unobs	4	w	4.878850103	Test_1	0.00430549038461537
20190822T090822_ProShame2_112_m_unobs_4_NA_E2_11_4.919917864	112	unobs	4	m	4.919917864	Test_1	-0.004792630769230784
20190814T093420_ProShame2_47_m_unobs_4_NA_E2_10_4.930869268	47	unobs	4	m	4.930869268	Test_1	-0.008135457280219872
20190925T092825_ProShame2_137_m_obs_4_F_E1_13_4.947296372	137	obs	4	m	4.947296372	Test_1	-0.0031617240384615155
20190801T102055_ProShame2_102_m_obs_4_M_E1_10_4.950034223	102	obs	4	m	4.950034223	Test_1	0.02510259519230767
20190529T100306_ProShame2_14_w_unobs_4_NA_E2_4_4.955509925	14	unobs	4	w	4.955509925	Test_1	0.1377380280448717
20191011T092520_ProShame2_124_w_unobs_4_NA_E1_13_4.966461328	124	unobs	4	w	4.966461328	Test_1	-0.0014533750000000035
20191011T100812_ProShame2_126_w_unobs_4_NA_E1_13_4.999315537	126	unobs	4	w	4.999315537	Test_1	0.02735187820512818
