"Subject"	"ID"	"Condition"	"Age"	"Gender"	"Age.cont"	"Trial"	"Mean"
"1"	"20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504"	"04"	"unobs"	"5"	"m"	"5.752224504"	"Test 1"	-0.0270569407051282
"2"	"20190522T093146_ProShame2_04_m_unobs_5_NA_E1_3_5.752224504"	"04"	"unobs"	"5"	"m"	"5.752224504"	"Test 2"	-0.0185367644230769
"3"	"20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114"	"01"	"unobs"	"5"	"m"	"5.612594114"	"Test 1"	-0.031572428525641
"4"	"20190524T085944_ProShame2_01_m_unobs_5_NA_E1_3_5.612594114"	"01"	"unobs"	"5"	"m"	"5.612594114"	"Test 2"	-0.0215687836538461
"5"	"20190524T105211_ProShame2_08_w_unobs_5_NA_E1_3_5.032169747"	"08"	"unobs"	"5"	"w"	"5.032169747"	"Test 1"	-0.0139822091346154
"6"	"20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679"	"53"	"obs"	"5"	"m"	"5.492128679"	"Test 1"	0.0266684487179488
"7"	"20190527T085848_ProShame2_53_m_obs_5_NA_E1_3_5.492128679"	"53"	"obs"	"5"	"m"	"5.492128679"	"Test 2"	0.00889766025641034
"8"	"20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243"	"54"	"obs"	"4"	"w"	"4.79945243"	"Test 1"	0.0495558054993252
"9"	"20190527T091834_ProShame2_54_w_obs_4_F_E1_3_4.79945243"	"54"	"obs"	"4"	"w"	"4.79945243"	"Test 2"	0.0681313844017094
"10"	"20190527T095051_ProShame2_55_m_obs_4_F_E1_3_4.635181383"	"55"	"obs"	"4"	"m"	"4.635181383"	"Test 1"	0.0421536266025641
"11"	"20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844"	"11"	"unobs"	"5"	"w"	"5.544147844"	"Test 1"	0.0248703453525641
"12"	"20190529T092900_ProShame2_11_w_unobs_5_NA_E2_4_5.544147844"	"11"	"unobs"	"5"	"w"	"5.544147844"	"Test 2"	0.0194707908653846
"13"	"20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273"	"12"	"unobs"	"5"	"m"	"5.297741273"	"Test 1"	0.105563710576923
"14"	"20190529T094902_ProShame2_12_m_unobs_5_NA_E2_4_5.297741273"	"12"	"unobs"	"5"	"m"	"5.297741273"	"Test 2"	0.0191091576923077
"15"	"20190529T100306_ProShame2_14_w_unobs_4_NA_E2_4_4.955509925"	"14"	"unobs"	"4"	"w"	"4.955509925"	"Test 1"	-0.00631877003205127
