Dyad	Subject	Condition	Need	helped	Gender	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
17	254893	con	needy	helped	male	2	3	Contentment	lips_together
49	254656	inc	needy	not-helped	female	2	3	Contentment	lips_together
49	251191	inc	non-needy	helped	female	4	4	Happiness 	Smile
19	243412	con	non-needy	not-helped	female	2	3	No_apparent_emotion	None
47	254653	inc	needy	not-helped	female	4	5	Elated_joy	Dynamic_movements
19	251118	con	needy	helped	female	3	3	Contentment	Slight_smile
26	251573	con	needy	helped	female	4	5	Elated_joy	smile_with_an_open_mouth
23	252128	con	non-needy	not-helped	male	2	3	Contentment	lips_together
48	243335	con	needy	helped	male	2	3	No_apparent_emotion	None
25	251575	inc	non-needy	helped	male	4	4	Happiness 	Smile
13	246103	inc	non-needy	helped	male	2	3	No_apparent_emotion	None
29	253528	inc	non-needy	helped	male	4	4	Happiness 	Smile
37	244451	inc	needy	not-helped	male	3	4	Contentment	Slight_smile
15	248504	inc	needy	not-helped	female	3	4	Elated_joy	smile_with_an_open_mouth
21	245072	inc	needy	not-helped	female	4	4	Elated_joy	arm_movement_upwards
17	252129	con	non-needy	not-helped	male	3	4	Happiness 	Smile 
35	247608	inc	needy	not-helped	male	4	4	Elated_joy	arm_movement_upwards
20	245328	inc	non-needy	helped	female	5	4	Elated_joy	Dynamic_movements
48	251216	con	non-needy	not-helped	male	4	3	Contentment	Slight_smile
14	248498	con	non-needy	not-helped	male	4	5	Elated_joy	smile_with_an_open_mouth
16	245065	inc	needy	not-helped	male	1	2	Sadness	slow_movement
12	252047	con	needy	helped	female	2	4	Contentment	Slight_smile
33	253790	inc	non-needy	helped	female	3	4	Happiness 	Smile 
41	246223	inc	non-needy	helped	male	4	4	Happiness 	Smile 
38	254034	inc	non-needy	helped	female	3	3	No_apparent_emotion	None
33	243336	inc	needy	not-helped	female	3	4	Contentment	Slight_smile
23	245505	con	needy	helped	male	2	3	No_apparent_emotion	None
11	251590	inc	non-needy	helped	male	4	3	Contentment	lips_together
27	251589	inc	needy	not-helped	female	3	4	Happiness 	Smile 
40	253786	con	needy	helped	male	4	4	Elated_joy	smile_with_an_open_mouth
36	247606	inc	needy	not-helped	male	4	4	Happiness 	Smile
32	248610	con	non-needy	not-helped	male	2	3	Contentment	lips_together
20	251116	inc	needy	not-helped	female	4	3	Contentment	lips_together
25	245426	inc	needy	not-helped	male	3	3	Contentment	lips_together
14	243647	con	needy	helped	male	4	4	Happiness 	Smile
21	251018	inc	non-needy	helped	female	2	4	Happiness 	Smile 
38	248557	inc	needy	not-helped	female	3	5	Elated_joy	Dynamic_movements
22	243539	con	needy	helped	male	5	5	Elated_joy	Dynamic_movements
13	243899	inc	needy	not-helped	male	3	4	Happiness 	Smile
12	242725	con	non-needy	not-helped	female	5	5	Elated_joy	Dynamic_movements
10	251594	con	non-needy	not-helped	female	4	5	Elated_joy	smile_with_an_open_mouth
36	254505	inc	non-needy	helped	male	4	5	Elated_joy	smile_with_an_open_mouth
39	254038	con	non-needy	not-helped	male	2	3	No_apparent_emotion	None
10	251599	con	needy	helped	female	2	3	Contentment	lips_together
22	251002	con	non-needy	not-helped	male	3	4	Happiness 	Smile
30	248615	con	needy	helped	female	3	4	Happiness 	Smile
34	251093	con	needy	helped	female	4	4	Happiness 	Smile
37	244887	inc	non-needy	helped	male	2	4	Happiness 	Smile
29	246357	inc	needy	not-helped	male	2	4	Happiness 	Smile
32	248617	con	needy	helped	male	5	4	Contentment	Slight_smile
41	253791	inc	needy	not-helped	male	4	4	Happiness 	Smile
47	251221	inc	non-needy	helped	female	4	4	Happiness 	Smile
35	254503	inc	non-needy	helped	male	2	4	Contentment	Slight_smile
40	243210	con	non-needy	not-helped	male	3	3	Contentment	lips_together
16	251980	inc	non-needy	helped	male	5	4	Elated_joy	Dynamic_movements
24	252130	con	needy	helped	female	5	5	Elated_joy	Dynamic_movements
11	251580	inc	needy	not-helped	male	3	4	Happiness 	Smile
34	244569	con	non-needy	not-helped	female	3	3	Contentment	lips_together
27	251587	inc	non-needy	helped	female	2	3	Contentment	lips_together
26	251574	con	non-needy	not-helped	female	4	4	Happiness 	Smile 
