helped	Context	Condition	Gender	Dyade	Target	Gender	Experimenter	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
not_helped	con	obs	m	D103	target	m	E2	4	4	Happiness 	Smile
helped	con	obs	m	D50	nontarget	m	E1	2	3	Contentment 	lips_together
helped	con	unobs	f	D9	nontarget	f	E1	4	4	Happiness 	Smile 
not_helped	incon	obs	m	D75	nontarget	m	E1	3	4	Happiness 	Smile
not_helped	con	obs	m	D43	target	m	E1	2	3	Contentment 	lips_together
not_helped	incon	obs	m	D74	nontarget	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	incon	obs	f	D52	target	f	E1	2	3	Contentment 	lips_together
not_helped	incon	obs	m	D35	nontarget	m	E1	4	4	Happiness 	Smile
helped	con	unobs	m	D46	nontarget	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
not_helped	incon	unobs	m	D93	nontarget	m	E2	4	4	Happiness 	Smile
helped	incon	unobs	f	D6	target	f	E1	2	4	Contentment 	Slight_smile
not_helped	con	obs	m	D77	target	m	E1	2	3	No_apparent_emotion	None
helped	incon	obs	m	D17	target	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	incon	unobs	f	D63	target	f	E1	5	5	Elated_joy	Dynamic_movements
helped	incon	obs	m	D28	target	m	E1	3	4	Happiness 	Smile 
not_helped	incon	obs	m	D14	nontarget	m	E1	4	3	Contentment 	Slight_smile
not_helped	incon	unobs	m	D33	nontarget	m	E1	3	3	Awe	Raised_eyebrows
not_helped	con	unobs	m	D40	target	m	E1	2	4	Contentment 	Slight_smile
not_helped	incon	unobs	f	D69	nontarget	f	E1	4	4	Happiness 	Smile
helped	con	obs	m	D81	nontarget	m	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	f	D64	nontarget	f	E1	2	4	Happiness 	Smile
helped	con	obs	f	D76	nontarget	f	E1	3	3	No_apparent_emotion	None
helped	incon	obs	m	D12	target	m	E1	5	5	Elated_joy	Dynamic_movements
not_helped	incon	obs	m	D99	nontarget	m	E2	2	2	Dissapointment	Facial_expression
helped	incon	unobs	m	D18	target	m	E1	5	5	Elated_joy	Dynamic_movements
helped	con	unobs	m	D45	nontarget	m	E1	4	4	Happiness 	Smile
not_helped	incon	obs	f	D73	nontarget	f	E1	4	3	Contentment 	Slight_smile
helped	incon	unobs	f	D37	target	f	E1	3	4	Happiness 	Smile
not_helped	incon	obs	f	D54	nontarget	f	E1	3	4	Happiness 	Smile 
not_helped	con	unobs	m	D8	target	m	E1	3	4	Happiness 	Smile
helped	incon	obs	m	D98	target	m	E2	5	5	Elated_joy	Dynamic_movements
helped	con	unobs	f	D97	nontarget	f	E2	3	4	Contentment 	Slight_smile
helped	incon	unobs	m	D42	target	m	E1	3	4	Happiness 	Smile
helped	incon	unobs	f	D69	target	f	E1	2	4	Contentment 	Slight_smile
helped	con	unobs	m	D23	nontarget	m	E1	5	5	Elated_joy	Dynamic_movements
not_helped	incon	obs	m	D24	nontarget	m	E1	4	5	Elated_joy	Dynamic_movements
helped	con	obs	f	D27	nontarget	f	E1	3	3	Contentment 	lips_together
helped	con	unobs	f	D38	nontarget	f	E1	5	4	Elated_joy	Dynamic_movements
helped	incon	obs	f	D30	target	f	E1	4	4	Happiness 	Smile
helped	incon	unobs	m	D62	target	m	E1	2	4	Happiness 	Smile
not_helped	incon	unobs	m	D42	nontarget	m	E1	3	3	No_apparent_emotion	None
helped	incon	obs	f	D92	target	f	E2	2	4	Contentment 	Slight_smile
not_helped	con	obs	f	D102	target	f	E2	2	3	Contentment 	lips_together
not_helped	con	unobs	m	D46	target	m	E1	3	5	Awe	smile 
helped	incon	obs	m	D35	target	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
not_helped	incon	unobs	m	D18	nontarget	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	con	unobs	m	D70	nontarget	m	E1	3	3	Contentment 	lips_together
not_helped	con	obs	f	D76	target	f	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	con	obs	m	D43	nontarget	m	E1	3	4	Happiness 	Smile
helped	incon	obs	f	D29	target	f	E1	3	4	Happiness 	Smile
helped	con	unobs	f	D49	nontarget	f	E1	2	3	Contentment 	lips_together
not_helped	con	obs	m	D50	target	m	E1	4	4	Happiness 	Smile
helped	con	obs	m	D80	nontarget	m	E1	3	5	Elated_joy	smile_with_an_open_mouth
not_helped	con	unobs	m	D70	target	m	E1	3	5	Elated_joy	smile_with_an_open_mouth
helped	incon	unobs	m	D100	target	m	E2	5	4	Elated_joy	Dynamic_movements
helped	con	obs	m	D15	nontarget	m	E1	3	4	Happiness 	Smile
helped	incon	obs	m	D99	target	m	E2	3	3	Contentment 	lips_together
helped	incon	obs	m	D91	target	m	E2	5	5	Elated_joy	Dynamic_movements
not_helped	con	obs	f	D22	target	f	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	m	D100	nontarget	m	E2	3	4	Happiness 	Smile
helped	con	obs	m	D103	nontarget	m	E2	5	4	Elated_joy	Dynamic_movements
helped	con	obs	m	D48	nontarget	m	E1	3	4	Happiness 	Smile
helped	con	obs	f	D102	nontarget	f	E2	4	4	Contentment 	Slight_smile
helped	incon	unobs	m	D68	target	m	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	con	obs	m	D90	nontarget	m	E2	4	5	Happiness 	Smile 
not_helped	con	unobs	f	D97	target	f	E2	4	5	Happiness 	Smile
not_helped	con	obs	m	D13	target	m	E1	3	4	Happiness 	Smile
not_helped	incon	unobs	f	D65	nontarget	f	E1	3	3	No_apparent_emotion	None
not_helped	con	obs	m	D90	target	m	E2	3	2	Dissapointment	Facial_expression
helped	incon	obs	f	D26	target	f	E1	3	4	Happiness 	Smile
helped	con	obs	f	D71	nontarget	f	E1	2	3	Contentment 	lips_together
not_helped	incon	obs	m	D98	nontarget	m	E2	3	4	Contentment 	Slight_smile
not_helped	incon	obs	f	D29	nontarget	f	E1	4	4	Contentment 	Slight_smile
not_helped	con	obs	f	D16	target	f	E1	4	5	Elated_joy	smile_with_an_open_mouth
helped	incon	unobs	f	D65	target	f	E1	2	4	Awe	smile 
helped	con	obs	f	D22	nontarget	f	E1	2	4	Awe	smile 
helped	incon	obs	m	D24	target	m	E1	3	4	Awe	smile 
not_helped	incon	obs	f	D92	nontarget	f	E2	3	3	Contentment 	lips_together
helped	incon	unobs	m	D34	target	m	E1	3	5	Happiness 	Smile
helped	con	unobs	m	D39	nontarget	m	E1	2	3	Contentment 	lips_together
not_helped	con	obs	m	D15	target	m	E1	5	5	Elated_joy	Dynamic_movements
helped	incon	unobs	f	D64	target	f	E1	3	4	Awe	slightly_opened_mouth
not_helped	incon	obs	m	D28	nontarget	m	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	f	D6	nontarget	f	E1	2	3	Contentment 	lips_together
not_helped	con	unobs	m	D23	target	m	E1	3	4	Awe	slightly_opened_mouth
not_helped	con	obs	f	D32	target	f	E1	3	5	Happiness 	Smile 
not_helped	con	unobs	m	D47	target	m	E1	3	5	Happiness 	Smile 
helped	con	obs	m	D78	nontarget	m	E1	3	5	Happiness 	Smile 
not_helped	con	unobs	f	D66	target	f	E1	2	5	Happiness 	Smile 
not_helped	con	unobs	f	D49	target	f	E1	2	4	Awe	slightly_opened_mouth
helped	con	unobs	f	D67	nontarget	f	E1	3	4	Awe	slightly_opened_mouth
helped	incon	unobs	f	D41	target	f	E1	2	5	Happiness 	Smile 
not_helped	incon	unobs	m	D4	nontarget	m	E1	3	4	Contentment 	Slight_smile
helped	incon	obs	m	D74	target	m	E1	5	4	Contentment 	Slight_smile
helped	incon	unobs	m	D4	target	m	E1	3	4	Contentment 	Slight_smile
helped	con	unobs	m	D40	nontarget	m	E1	2	4	Contentment 	Slight_smile
not_helped	con	obs	m	D51	target	m	E1	3	3	Contentment 	lips_together
not_helped	con	obs	m	D81	target	m	E1	3	3	Contentment 	lips_together
not_helped	con	unobs	f	D9	target	f	E1	3	4	Happiness 	Smile 
helped	incon	obs	f	D73	target	f	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	f	D96	nontarget	f	E2	5	5	Elated_joy	Dynamic_movements
helped	incon	unobs	m	D101	target	m	E2	4	4	Happiness 	Smile
helped	incon	obs	m	D14	target	m	E1	5	4	Happiness 	Smile
helped	con	obs	m	D51	nontarget	m	E1	3	4	Awe	smile 
not_helped	incon	unobs	m	D68	nontarget	m	E1	3	3	No_apparent_emotion	None
helped	con	unobs	m	D19	nontarget	m	E1	3	3	Contentment 	lips_together
helped	incon	obs	f	D55	target	f	E1	3	4	Happiness 	Smile
not_helped	con	unobs	m	D19	target	m	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	f	D61	nontarget	f	E1	3	5	Happiness 	Smile
helped	incon	unobs	m	D93	target	m	E2	3	3	Contentment 	lips_together
not_helped	con	unobs	f	D67	target	f	E1	2	5	Happiness 	Smile 
not_helped	incon	obs	m	D17	nontarget	m	E1	3	3	No_apparent_emotion	None
helped	con	obs	f	D16	nontarget	f	E1	4	5	Happiness 	Smile
not_helped	con	unobs	f	D38	target	f	E1	3	3	No_apparent_emotion	None
not_helped	con	unobs	m	D45	target	m	E1	3	4	Happiness 	Smile 
not_helped	con	unobs	m	D39	target	m	E1	3	3	Contentment 	lips_together
helped	con	unobs	m	D79	nontarget	m	E1	4	4	Happiness 	Smile
not_helped	incon	unobs	f	D37	nontarget	f	E1	3	3	Contentment 	lips_together
not_helped	incon	unobs	m	D101	nontarget	m	E2	2	4	Contentment 	Slight_smile
not_helped	con	unobs	f	D11	target	f	E1	3	5	Happiness 	Smile
not_helped	con	obs	f	D27	target	f	E1	4	4	Happiness 	Smile 
helped	incon	unobs	f	D96	target	f	E2	3	3	Contentment 	lips_together
