Dyad	Subject	Condition	Need	helped	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
29	253528	inc	non-needy	helped	2	3	Contentment 	lips_together
33	253790	inc	non-needy	helped	4	4	Happiness	Smile
35	254503	inc	non-needy	helped	2	3	Contentment 	slight_smile
20	245328	inc	non-needy	helped	4	4	Contentment 	slight_smile
10	251594	con	non-needy	not-helped	4	4	Happiness	Smile
33	243336	inc	needy	not-helped	3	3	Contentment	slight_smile
16	251980	inc	non-needy	helped	4	5	Elated_joy	smile_with_an_open_mouth
13	246103	inc	non-needy	helped	3	2	Sadness	Sad_facial_expression
21	251018	inc	non-needy	helped	2	3	Guilt	guilty_smile
12	242725	con	non-needy	not-helped	5	3	Elated_joy	Dynamic_movements
27	251587	inc	non-needy	helped	3	3	Contentment	slight_smile
22	251002	con	non-needy	not-helped	4	5	Elated_joy	smile_with_an_open_mouth
21	245072	inc	needy	not-helped	4	2	Shame	slumped_shoulders
36	254505	inc	non-needy	helped	5	5	Elated_joy	Dynamic_movements
29	246357	inc	needy	not-helped	2	4	Happiness	Smile
49	251191	inc	non-needy	helped	3	4	Contentment	slight_smile
38	254034	inc	non-needy	helped	3	2	Anger	Angry_facial_expression
37	244887	inc	non-needy	helped	3	4	Pride	elevated_or_expanded_upper_body_posture 
19	243412	con	non-needy	not-helped	2	2	Sadness	Sad_facial_expression
16	245065	inc	needy	not-helped	4	3	Disappointment	Facial_expression
48	243335	con	needy	helped	3	2	Sadness	Sad_facial_expression
15	248504	inc	needy	not-helped	2	2	Sadness	head_tilted_down,
38	248557	inc	needy	not-helped	3	4	Happiness	Smile
20	251116	inc	needy	not-helped	3	4	Happiness	Smile
34	251093	con	needy	helped	4	4	Elated_joy	smile_with_an_open_mouth
41	246223	inc	non-needy	helped	3	4	Happiness	Smile
11	251590	inc	non-needy	helped	4	3	no_apparent_emotion	none
36	247606	inc	needy	not-helped	4	4	Happiness	Smile
26	251574	con	non-needy	not-helped	5	5	Elated_joy	smile_with_an_open_mouth
39	254038	con	non-needy	not-helped	2	3	Contentment	lips_together
10	251599	con	needy	helped	2	3	Contentment	slight_smile
13	243899	inc	needy	not-helped	3	3	Pride	slight_smile
35	247608	inc	needy	not-helped	3	4	Happiness	Smile
25	251575	inc	non-needy	helped	5	4	Happiness	Smile
49	254656	inc	needy	not-helped	4	3	Disappointment	slightly_lowered_body_posture
14	248498	con	non-needy	not-helped	5	3	Anger	large_movements
32	248617	con	needy	helped	5	4	Happiness	Smile
11	251580	inc	needy	not-helped	3	3	Contentment	slight_smile
25	245426	inc	needy	not-helped	3	2	Sadness	Sad_facial_expression
19	251118	con	needy	helped	3	4	Happiness	Smile
30	248615	con	needy	helped	5	5	Happiness	Smile
27	251589	inc	needy	not-helped	5	3	Disappointment	large_movements
23	252128	con	non-needy	not-helped	3	4	Contentment	slight_smile
40	253786	con	needy	helped	5	4	Elated_joy	Dynamic_movements
41	253791	inc	needy	not-helped	5	4	Elated_joy	smile_with_an_open_mouth
14	243647	con	needy	helped	4	3	Happiness	Smile
34	244569	con	non-needy	not-helped	2	4	Contentment	slight_smile
23	245505	con	needy	helped	3	4	Contentment	lips_together
12	252047	con	needy	helped	4	4	Happiness	Smile
48	251216	con	non-needy	not-helped	2	3	Contentment	slight_smile
40	243210	con	non-needy	not-helped	2	3	Contentment	slight_smile
17	252129	con	non-needy	not-helped	4	4	Elated_joy	smile_with_an_open_mouth
24	252130	con	needy	helped	5	5	Elated_joy	Dynamic_movements
37	244451	inc	needy	not-helped	3	2	Disappointment	Facial_expression
17	254893	con	needy	helped	2	4	Contentment	slight_smile
32	248610	con	non-needy	not-helped	3	2	Anger	Angry_facial_expression
22	243539	con	needy	helped	5	5	Elated_joy	Dynamic_movements
47	251221	inc	non-needy	helped	5	5	Happiness	Smile
47	254653	inc	needy	not-helped	5	5	Elated_joy	Dynamic_movements
26	251573	con	needy	helped	4	3	Contentment	lips_together
