"Dyad"	"Subject"	"Condition"	"Need"	"Side"	"Gender"	"Time"	"Change"	"helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	1	-0.0248785	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	2	-0.0419598416666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	3	-0.0328755916666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	4	-0.013556925	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	5	-0.00244483333333329	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	6	0.03548955	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	7	0.0243465041666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	8	0.0192967416666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	9	0.0142276208333333	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	10	0.00686516666666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	11	0.0133999166666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	12	0.0193225	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	13	0.0239364166666667	"not-helped"
"10"	"251594"	"con"	"non-needy"	"right"	"female"	14	0.0338729	"not-helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	1	-0.0279104444444445	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	2	-0.0245810555555556	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	3	-0.0266008611111111	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	4	-0.0186721666666667	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	5	0.0156795277777778	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	6	0.0168187175925926	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	7	0.0203684074074074	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	8	0.0293436388888889	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	9	0.039620037037037	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	10	0.0491632851851852	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	11	0.0574374333333333	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	12	0.0619964333333333	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	13	0.0693581333333333	"helped"
"10"	"251599"	"con"	"needy"	"left"	"female"	14	0.0592425333333333	"helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	1	0.04688275	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	2	0.0371864444444445	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	3	0.0279455555555555	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	4	0.0275521574074074	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	5	0.0267760925925926	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	6	0.0170212222222222	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	7	0.00648305555555555	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	8	-0.00484616666666667	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	9	-0.0239838333333333	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	10	0.00112716666666667	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	11	0.00694049999999997	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	12	0.0026395	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	13	0.00981743333333333	"not-helped"
"11"	"251580"	"inc"	"needy"	"left"	"male"	14	0.00630666666666667	"not-helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	1	0.037867	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	2	0.00208383333333331	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	3	-0.0180001666666667	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	4	-0.0309798333333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	5	0.003235	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	6	0.00246148611111111	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	7	-0.000906361111111115	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	8	-0.00738338888888889	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	9	-0.0114162361111111	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	10	-0.0173435833333333	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	11	-0.02427675	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	12	-0.0319462166666667	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	13	-0.0398602666666667	"helped"
"11"	"251590"	"inc"	"non-needy"	"right"	"male"	14	-0.0325914333333333	"helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	1	-0.0262766666666667	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	2	-0.0130346	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	3	-0.00778953333333336	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	4	0.00501403333333333	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	5	-0.00484556666666668	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	6	-0.0111641833333333	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	7	-0.000481205000000016	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	8	-0.0449409766666667	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	9	-0.0520075816666667	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	10	-0.0537156866666667	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	11	0.0122431	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	12	0.0184387833333334	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	13	0.0246344666666667	"not-helped"
"12"	"242725"	"con"	"non-needy"	"left"	"female"	14	0.0321511666666667	"not-helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	1	-0.00677616666666667	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	2	-0.0213687916666667	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	3	-0.0529658333333333	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	4	-0.027504425	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	5	0.00694665000000001	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	6	0.0110162166666667	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	7	0.000601658333333314	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	8	-0.00329230000000002	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	9	-0.00308149166666666	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	10	0.00481856333333333	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	11	0.00487584484848485	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	12	0.0251032633333333	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	13	0.0456849545454545	"helped"
"12"	"252047"	"con"	"needy"	"right"	"female"	14	0.0435168833333333	"helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	1	-0.055772875	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	2	-0.0495949166666667	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	3	-0.060744	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	4	-0.0307746666666667	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	5	-0.000805333333333325	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	6	0.00849216666666666	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	7	-0.0190603333333333	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	8	-0.02821675	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	9	-0.0274296666666667	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	10	-0.033494	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	11	-0.0261265	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	12	-0.039693	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	13	-0.0480766666666667	"not-helped"
"13"	"243899"	"inc"	"needy"	"right"	"male"	14	-0.0267906666666667	"not-helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	1	-0.0117833333333333	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	2	-0.0202291666666667	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	3	-0.035515	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	4	-0.0176341666666667	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	5	-0.0252866666666667	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	6	-0.038146625	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	7	-0.0412449166666667	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	8	-0.0407228333333333	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	9	-0.0247008333333333	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	10	-0.0283081666666666	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	11	-0.031223	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	12	-0.0602850833333333	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	13	-0.0655591666666667	"helped"
"13"	"246103"	"inc"	"non-needy"	"left"	"male"	14	-0.0477743333333333	"helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	1	0.0515525	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	2	0.0440620833333333	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	3	0.0376091666666667	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	4	0.03069375	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	5	0.0237783333333333	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	6	0.029415	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	7	0.042635	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	8	0.0419525	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	9	0.040485	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	10	0.0253525	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	11	0.0125837500000001	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	12	0.00846749999999999	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	13	-0.00489950000000001	"not-helped"
"14"	"248498"	"con"	"non-needy"	"left"	"male"	14	0.0330675	"not-helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	1	0.0102325	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	2	-0.00200624999999999	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	3	-0.014245	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	4	-0.0014575	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	5	0.01842	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	6	0.0480275	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	7	0.045045	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	8	0.07774375	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	9	0.049895	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	10	0.021865	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	11	0.005965	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	12	0.0354715	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	13	0.056893	"helped"
"14"	"243647"	"con"	"needy"	"right"	"male"	14	0.0914745	"helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	1	0.03347	"not-helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	2	0.0360575	"not-helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	3	0.0310983333333333	"not-helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	4	0.00480000000000003	"not-helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	5	-0.0107483333333333	"not-helped"
"15"	"248504"	"inc"	"needy"	"right"	"female"	6	-0.0109283333333333	"not-helped"
