Help	Condition	Gender	Subject	Phase	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
Child-helped	Observed	F	243479	Test1	3	3	Contentment 	lips_together
Control	Observed	F	241184	Test1	5	5	Elated_joy	Dynamic_movements
Control	Observed	M	243337	Test1	2	3	No_apparent_emotion	None
Control	non-Observed	F	256201	Test1	2	3	No_apparent_emotion	None
Child-helped	Observed	F	242583	Test2	4	4	Elated_joy	smile_with_an_open_mouth
Child-helped	Observed	M	243807	Test1	3	3	No_apparent_emotion	None
Child-helped	non-Observed	F	241191	Test2	5	4	Elated_joy	Dynamic_movements
Control	Observed	M	243364	Test1	4	3	Happiness 	Smile
Control	non-Observed	M	244034	Test1	2	2	Sadness	Sad_facial_expression
Child-helped	non-Observed	M	243014	Test1	3	3	Contentment 	lips_together
Child-helped	Observed	F	243363	Test1	4	4	Elated_joy	smile_with_an_open_mouth
Child-helped	non-Observed	F	243017	Test1	3	2	Sadness	Sad_facial_expression
Child-helped	Observed	F	243371	Test1	2	3	Contentment 	lips_together
Control	Observed	M	243376	Test1	3	3	Awe	Raised_eyebrows
Control	non-Observed	M	244069	Test1	2	3	No_apparent_emotion	None
Control	non-Observed	F	242473	Test1	2	2	Sadness	Sad_facial_expression
Control	Observed	F	251945	Test1	2	3	No_apparent_emotion	None
Child-helped	Observed	M	242867	Test1	4	3	Contentment 	Slight_smile
Child-helped	non-Observed	F	243593	Test1	3	4	Happiness 	Smile 
Child-helped	non-Observed	M	242422	Test1	3	3	Contentment 	Slight_smile
Control	non-Observed	F	243037	Test1	5	4	Elated_joy	Dynamic_movements
Control	Observed	M	243341	Test1	5	4	Elated_joy	Dynamic_movements
Control	Observed	M	242461	Test1	2	4	Awe	slightly_opened_mouth
Child-helped	Observed	F	242981	Test2	4	4	Happiness 	Smile
Control	non-Observed	M	243201	Test1	2	3	Contentment 	Slight_smile
Control	non-Observed	M	243993	Test1	4	5	Elated_joy	smile_with_an_open_mouth
Child-helped	Observed	M	243215	Test1	2	2	Anger	Angry_facial_expression
Control	non-Observed	F	243528	Test1	4	4	Contentment 	Slight_smile
Child-helped	Observed	M	243136	Test1	3	3	No_apparent_emotion	None
Control	Observed	F	242885	Test2	3	4	Happiness 	Smile
Child-helped	non-Observed	F	242349	Test1	3	3	Contentment 	lips_together
Child-helped	non-Observed	F	242956	Test2	4	3	Contentment 	lips_together
Control	Observed	F	242810	Test1	4	3	Contentment 	lips_together
Child-helped	non-Observed	M	243596	Test1	2	4	Happiness 	Smile
Control	Observed	M	244070	Test1	2	3	Contentment 	lips_together
Child-helped	Observed	M	243032	Test1	3	3	Contentment 	Slight_smile
Control	Observed	F	241510	Test1	3	3	Contentment 	Slight_smile
Control	non-Observed	F	242883	Test1	3	2	Sadness	Sad_facial_expression
Child-helped	non-Observed	F	242463	Test1	3	4	Happiness 	Smile 
Child-helped	Observed	F	243516	Test2	3	2	Dissapointment	slightly_lowered_body_posture
Control	Observed	F	243328	Test1	2	2	No_apparent_emotion	None
Child-helped	non-Observed	M	248867	Test1	3	3	Contentment 	Slight_smile
Child-helped	Observed	F	242985	Test1	3	4	Contentment 	Slight_smile
Control	non-Observed	F	241190	Test2	4	3	No_apparent_emotion	None
Child-helped	non-Observed	F	243482	Test1	3	4	Happiness 	Smile
Child-helped	non-Observed	F	243038	Test1	3	3	Contentment 	Slight_smile
Control	non-Observed	M	243883	Test1	2	4	Contentment 	Slight_smile
Child-helped	non-Observed	M	243101	Test1	3	3	Contentment 	lips_together
Child-helped	non-Observed	F	242348	Test1	4	4	Contentment 	Slight_smile
Child-helped	Observed	M	243185	Test1	3	4	Contentment 	Slight_smile
Control	Observed	M	242362	Test1	2	3	No_apparent_emotion	None
Child-helped	Observed	M	243513	Test2	3	4	Contentment 	Slight_smile
Control	Observed	M	243000	Test1	4	4	Contentment 	Slight_smile
Control	non-Observed	F	243386	Test1	3	3	Contentment 	lips_together
Child-helped	Observed	M	243495	Test1	4	3	No_apparent_emotion	None
Control	non-Observed	M	243087	Test1	4	5	Elated_joy	smile_with_an_open_mouth
Control	Observed	M	243384	Test1	5	5	Elated_joy	Dynamic_movements
Child-helped	Observed	F	243471	Test1	3	4	Happiness 	Smile
Child-helped	non-Observed	M	243543	Test1	4	4	Awe	slightly_opened_mouth
Control	non-Observed	M	246018	Test1	3	4	Happiness 	Smile
Control	Observed	M	242937	Test1	2	3	Contentment 	Slight_smile
