Context	Observation	Subj_ID	Gender	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
Help	Observed	ProShame41	m	4	3	Contentment 	Slight_smile
Help	Unobserved	ProShame20	w	4	3	No_apparent_emotion	None
Help	Unobserved	ProShame97	m	2	3	No_apparent_emotion	None
Help	Unobserved	ProShame77	m	3	3	Contentment 	lips_together
Own-goal	Unobserved	ProShame11	m	4	4	Happiness 	Smile 
Help	Observed	ProShame17	m	3	4	Happiness 	Smile
Own-goal	Observed	ProShame98	m	3	4	Happiness 	Smile
Help	Observed	ProShame45	m	3	3	No_apparent_emotion	None
Own-goal	Observed	ProShame22	w	3	4	Happiness 	Smile
Own-goal	Observed	ProShame99	w	3	3	Contentment 	lips_together
Own-goal	Observed	ProShame34	w	2	3	No_apparent_emotion	None
Own-goal	Observed	ProShame06	w	4	4	Happiness 	Smile 
Help	Observed	ProShame29	m	2	3	Contentment 	lips_together
Help	Unobserved	ProShame60	m	2	3	Contentment 	lips_together
Own-goal	Unobserved	ProShame70	w	2	3	Contentment 	lips_together
Help	Observed	ProShame57	w	2	3	Contentment 	lips_together
Own-goal	Unobserved	ProShame68	m	3	3	No_apparent_emotion	None
Own-goal	Unobserved	ProShame31	m	5	3	Contentment 	Slight_smile
Own-goal	Observed	ProShame103	m	3	3	Contentment 	lips_together
Own-goal	Unobserved	ProShame51	w	4	4	Happiness 	Smile
Own-goal	Observed	ProShame26	w	1	2	Sadness	slow_movement
Own-goal	Unobserved	ProShame59	w	2	3	No_apparent_emotion	None
Help	Unobserved	ProShame64	w	4	3	Contentment 	Slight_smile
Own-goal	Observed	ProShame62	m	2	3	No_apparent_emotion	None
Own-goal	Observed	ProShame58	m	3	4	Contentment 	Slight_smile
Own-goal	Observed	ProShame54	m	3	4	Contentment 	Slight_smile
Help	Unobserved	ProShame36	m	4	3	Contentment 	Slight_smile
Own-goal	Observed	ProShame10	w	4	3	No_apparent_emotion	None
Help	Unobserved	ProShame48	m	4	5	Elated_joy	smile_with_an_open_mouth
Own-goal	Unobserved	ProShame72	w	3	3	Contentment 	lips_together
Help	Observed	ProShame101	w	3	4	Contentment 	Slight_smile
Help	Unobserved	ProShame85	m	2	2	Sadness	Sad_facial_expression
Help	Unobserved	ProShame04	w	2	2	Sadness	Sad_facial_expression
Help	Unobserved	ProShame92	w	4	3	Contentment 	Slight_smile
Own-goal	Unobserved	ProShame94	w	3	3	Contentment 	lips_together
Own-goal	Observed	ProShame38	m	2	2	Shame 	Lowered_or_collapsed_upper_body_posture
Help	Unobserved	ProShame56	w	4	5	Happiness 	Smile
Help	Observed	ProShame37	m	3	3	Contentment 	lips_together
Own-goal	Unobserved	ProShame95	m	2	3	No_apparent_emotion	None
Own-goal	Unobserved	ProShame67	w	4	3	Contentment 	Slight_smile
Own-goal	Unobserved	ProShame43	m	5	3	No_apparent_emotion	None
Help	Unobserved	ProShame78	w	5	4	Contentment 	Slight_smile
Help	Observed	ProShame105	w	5	3	Contentment 	Slight_smile
Help	Unobserved	ProShame12	m	2	4	Contentment 	Slight_smile
Help	Observed	ProShame61	m	2	2	Dissapointment	Facial_expression
Own-goal	Unobserved	ProShame88	m	2	2	Dissapointment	Facial_expression
Own-goal	Unobserved	ProShame69	m	4	4	Happiness 	Smile
Help	Observed	ProShame09	w	3	3	Contentment 	Slight_smile
Help	Unobserved	ProShame08	m	3	3	Contentment 	Slight_smile
Own-goal	Observed	ProShame93	m	2	3	No_apparent_emotion	None
Own-goal	Observed	ProShame14	w	2	2	Shame 	Lowered_or_collapsed_upper_body_posture
Help	Observed	ProShame53	m	4	4	Contentment 	Slight_smile
Help	Observed	ProShame49	w	4	4	Contentment 	Slight_smile
Help	Observed	ProShame100	w	3	3	Contentment 	lips_together
Own-goal	Observed	ProShame82	m	3	3	Awe	slightly_opened_mouth
Help	Unobserved	ProShame89	w	3	2	Dissapointment	Facial_expression
Own-goal	Unobserved	ProShame39	w	5	5	Elated_joy	Dynamic_movements
Help	Unobserved	ProShame40	w	4	4	Happiness 	Smile
Help	Observed	ProShame21	w	4	4	Contentment 	Slight_smile
Help	Observed	ProShame25	w	4	4	Contentment 	Slight_smile
Own-goal	Unobserved	ProShame55	m	2	4	Pride	elevated_or_expanded_upper_body_posture 
Own-goal	Observed	ProShame02	w	2	4	Happiness 	Smile
Own-goal	Unobserved	ProShame23	m	3	4	Contentment 	Slight_smile
Own-goal	Unobserved	ProShame91	w	4	4	Happiness 	Smile
Help	Observed	ProShame01	w	2	4	Happiness 	Smile
Own-goal	Unobserved	ProShame27	m	3	3	Contentment 	lips_together
Own-goal	Observed	ProShame42	w	2	3	Contentment 	lips_together
Help	Unobserved	ProShame87	m	3	3	Awe	Raised_eyebrows
