ID_c1	Condition_c1	Age_c1	Gender_c1	Arousal_c1	Valence_c1	Emotion_c1	Emotion_cue_c1
101	obs	5	w	4	3	Disappointment	Facial_expression
110	unobs	5	w	4	2	Sadness	slow_movement
146	obs	4	m	2	3	Awe	slightly_opened_mouth
53	obs	5	m	3	2	Disappointment	large_movements
100	obs	4	w	3	2	Sadness	Sad_facial_expression
127	unobs	5	m	2	3	Pride	head_tilted_upwards
124	unobs	4	w	4	2	Disappointment	tightened_eyelids
55	obs	4	m	4	2	Shame	lowered_or_avoidant_gaze
82	obs	5	w	3	2	Shame	lowered_or_avoidant_gaze
61	obs	4	m	4	1	Sadness	Sad_facial_expression
66	obs	4	m	3	3	Sadness	Sad_facial_expression
106	unobs	4	m	4	3	Guilt	guilty_smile
78	obs	4	w	2	3	Contentment 	lips_together
125	unobs	4	w	4	2	Shame	lowered_or_avoidant_gaze
98	obs	4	w	4	2	Guilt	guilty_smile
50	unobs	4	m	3	3	Sadness	Sad_facial_expression
111	unobs	4	w	4	1	Sadness	Sad_facial_expression
45	unobs	4	m	4	1	Sadness	slightly_lowered_body_posture
76	obs	5	w	4	1	Shame	slumped_shoulders
116	unobs	5	w	2	3	Contentment 	lips_together
112	unobs	4	m	4	2	Shame	lowered_head
93	obs	5	w	3	4	Guilt	guilty_smile
23	unobs	4	m	4	1	Shame	slumped_shoulders
47	unobs	4	m	5	2	Anger	large_movements
36	unobs	4	w	3	2	Shame	lowered_or_avoidant_gaze
74	obs	4	w	4	3	Shame	slumped_shoulders
64	obs	5	w	3	3	Guilt	guilty_smile
108	unobs	4	m	5	1	Shame	lowered_or_avoidant_gaze
1	unobs	5	m	4	3	Shame	lowered_or_avoidant_gaze
52	unobs	4	w	4	2	Shame	lowered_or_avoidant_gaze
147	obs	5	w	3	3	Shame	lowered_or_avoidant_gaze
121	unobs	5	m	3	3	Contentment 	lips_together
102	obs	4	m	4	3	Guilt	guilty_smile
72	obs	4	m	3	4	Guilt	guilty_smile
91	obs	5	m	2	3	Awe	slightly_opened_mouth
71	obs	5	w	3	2	Sadness	Sad_facial_expression
145	obs	5	m	4	1	Shame	slumped_shoulders
83	obs	5	m	3	4	Guilt	guilty_smile
136	obs	5	w	5	5	Happiness	Smile
54	obs	4	w	4	2	Sadness	Sad_facial_expression
95	obs	5	w	3	4	Shame	slumped_shoulders
38	unobs	4	w	4	3	Anger	Angry_facial_expression
59	obs	5	m	5	2	Shame	slumped_shoulders
142	obs	5	w	4	2	Shame	lowered_or_avoidant_gaze
107	unobs	4	m	3	2	Sadness	head_tilted_down
16	unobs	5	w	3	2	Guilt	shifting_gaze
79	obs	4	m	5	1	Guilt	guilty_smile
11	unobs	5	w	2	3	Contentment 	slight_smile
75	obs	4	m	3	3	Guilt	guilty_smile
4	unobs	5	m	4	3	Guilt	shifting_gaze
69	obs	4	w	3	2	Shame	slumped_shoulders
138	obs	4	m	3	2	Shame	lowered_or_avoidant_gaze
40	unobs	4	m	4	2	Sadness	slow_movement
18	unobs	5	w	2	3	Sadness	Sad_facial_expression
70	obs	4	w	5	5	Elated_joy	arm_movement_upwards
144	obs	5	m	2	4	Awe	slightly_opened_mouth
35	unobs	4	m	4	2	Sadness	Sad_facial_expression
63	obs	4	w	5	3	Shame	slumped_shoulders
44	unobs	4	m	3	3	Guilt	shifting_gaze
141	obs	5	w	3	2	Shame	lowered_or_avoidant_gaze
77	obs	5	w	5	1	Guilt	guilty_smile
90	obs	4	m	3	3	Anger	Angry_facial_expression
14	unobs	4	w	3	4	Awe	slightly_opened_mouth
87	obs	5	w	4	3	no_apparent_emotion	none
48	unobs	4	m	2	3	Shame	lowered_or_avoidant_gaze
84	obs	5	m	5	4	Happiness	head_tilted_upwards
39	unobs	5	m	4	2	Disappointment	Facial_expression
105	unobs	4	w	3	2	Shame	lowered_head
152	obs	5	w	4	2	Sadness	Sad_facial_expression
29	unobs	5	m	5	2	Anger	large_movements
137	obs	4	m	4	4	Contentment 	slight_smile
37	unobs	5	m	5	1	Shame	slumped_shoulders
73	obs	4	w	4	2	Shame	lowered_or_avoidant_gaze
135	obs	5	w	4	5	Happiness	Smile
60	obs	5	w	4	2	Disappointment	Facial_expression
43	unobs	5	w	4	2	Contentment 	lips_together
58	obs	5	w	3	2	Sadness	Sad_facial_expression
41	unobs	4	m	4	2	Shame	lowered_head
85	obs	5	m	4	4	Guilt	shifting_gaze
122	unobs	4	w	4	3	Guilt	shifting_gaze
12	unobs	5	m	4	2	Shame	lowered_head
51	unobs	4	m	3	2	Disappointment	Facial_expression
140	obs	4	m	5	2	Guilt	shifting_gaze
92	obs	5	m	4	2	Contentment 	lips_together
8	unobs	5	w	4	2	Disappointment	slightly_lowered_body_posture
118	unobs	4	w	5	2	Guilt	shifting_gaze
88	obs	5	m	4	3	Guilt	guilty_smile
117	unobs	5	m	4	2	Sadness	Sad_facial_expression
46	unobs	5	w	4	3	Shame	lowered_head
99	obs	4	m	5	2	Guilt	blushing
131	obs	5	m	5	1	Shame	lowered_or_avoidant_gaze
126	unobs	4	w	4	2	Guilt	guilty_smile
17	unobs	4	w	3	4	Guilt	guilty_smile
